"group_id","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_q95","pla_q25","platelet_free_above_pla_q25"
"GSM8571075_Res-S40","CD41",490,2241,1.08408267282387,0.236514806014685,0.847567866809187,0.63627045433101,0.885036843639983,0.00803212851405622
"GSM8571076_Res-S41","CD41",430,1945,1.11372038216401,0.236514806014685,0.877205576149329,0.588052705282894,0.847639899307208,0.0102827763496144
"GSM8571043_Abd-S23","CD41",134,1009,0.989504009585991,0.0852066782064391,0.904297331379552,0.537391699263323,0.808789908104758,0.0118929633300297
"GSM8571066_Res-S118","CD41",521,1946,1.11372038216401,0.16371978505585,0.950000597108164,0.63627045433101,0.847639899307208,0.0184994861253854
"GSM8571070_Res-S166","CD41",305,1318,1.11372038216401,0.16371978505585,0.950000597108164,0.588052705282894,0.847639899307208,0.0136570561456753
"GSM8571073_Res-S19","CD41",568,1590,1.27517312244141,0.236514806014685,1.03865831642673,0.63627045433101,0.885036843639983,0.0238993710691824
"GSM8571053_Abd-S81","CD41",491,1170,1.14250492299828,0.0852066782064391,1.05729824479184,0.565255252574085,0.847639899307208,0
"GSM8571050_Abd-S67","CD41",1042,2329,1.22419793328876,0.16371978505585,1.06047814823291,0.588052705282894,0.955879789788467,0.0030055817947617
"GSM8571071_Res-S170","CD41",581,1622,1.22419793328876,0.16371978505585,1.06047814823291,0.588052705282894,0.921085525950158,0.00554870530209618
"GSM8571074_Res-S22","CD41",1062,3383,1.41414628065,0.30436839040018,1.10977789024982,1.02203432326173,0.921085525950158,0.0756724800472953
"GSM8571064_Res-S10","CD41",272,3875,1.22419793328876,0.0852066782064391,1.13899125508232,0.484026552054494,0.921085525950158,0.00283870967741936
"GSM8571067_Res-S146","CD41",224,2143,1.22419793328876,0.0852066782064391,1.13899125508232,0.484026552054494,0.921085525950158,0.00326644890340644
"GSM8571048_Abd-S55","CD41",49,575,1.27517312244141,0.0852066782064391,1.18996644423497,0.537391699263323,0.921085525950158,0.00869565217391304
"GSM8571044_Abd-S42","CD41",760,1765,1.2997182860915,0.0852066782064391,1.21451160788506,0.588052705282894,0.921085525950158,0.0101983002832861
"GSM8571058_HC13","CD41",851,3990,1.2997182860915,0.0852066782064391,1.21451160788506,0.588052705282894,0.955879789788467,0.0100250626566416
"GSM8571054_Abd-S9","CD41",429,2059,1.39228427011173,0.16371978505585,1.22856448505588,0.768369374000586,0.955879789788467,0.0364254492472074
"GSM8571072_Res-S183","CD41",1178,2482,1.49710695015922,0.16371978505585,1.33338716510337,0.682269808097656,1.0535396705726,0.0229653505237712
"GSM8571078_Uri-S134","CD41",775,2060,1.62754042594319,0.236514806014685,1.39102561992851,1.17048404363928,1.25001030144291,0.033495145631068
"GSM8571055_Abd-S91","CD41",520,2881,1.49710695015922,0.0852066782064391,1.41190027195278,0.427652226362796,0.955879789788467,0.00590072891357168
"GSM8571057_HC05","CD41",1178,4270,1.53614142203111,0.0852066782064391,1.45093474382467,0.588052705282894,0.997636588004925,0.00796252927400468
"GSM8571080_Uri-S85","CD41",331,1884,1.69508431199711,0.0852066782064391,1.60987763379067,0.726245946874838,1.32367538989261,0.0106157112526539
"GSM8571042_Abd-S111","CD41",791,2648,1.78854728676139,0.16371978505585,1.62482750170554,0.682269808097656,1.14250492299828,0.020392749244713
"GSM8571069_Res-S164","CD41",942,2540,1.75835324629557,0.0852066782064391,1.67314656808913,0.957561000778334,1.32367538989261,0.00866141732283465
"GSM8571079_Uri-S157","CD41",738,4668,1.78854728676139,0.0852066782064391,1.70334060855495,0.955879789788467,1.43554055118968,0.0032133676092545
"GSM8571045_Abd-S45","CD41",187,1081,1.90095681365236,0.16371978505585,1.73723702859651,0.885036843639983,1.27486429376721,0.0157261794634598
"GSM8571065_Res-S100","CD41",338,2145,1.8463307070299,0.0852066782064391,1.76112402882346,0.537391699263323,1.08408267282387,0.0041958041958042
"GSM8571051_Abd-S75","CD41",1198,1304,1.9271901418292,0.16371978505585,1.76347035677335,0.921085525950158,1.37552127449855,0.00766871165644172
"GSM8571059_IC08","CD41",1209,2148,2.04893077452831,0.236514806014685,1.81241596851363,1.19770159285942,1.75835324629557,0
"GSM8571052_Abd-S80","CD41",528,2231,1.90095681365236,0.0852066782064391,1.81575013544592,0.682269808097656,1.36993360929416,0.00582698341550874
"GSM8571062_IC19","CD41",2204,3793,2.10465967805071,0.236514806014685,1.86814487203603,0.682269808097656,1.67862121077252,0
"GSM8571068_Res-S149","CD41",1588,2041,2.03740237483816,0.16371978505585,1.87368258978231,0.726245946874838,1.53614142203111,0.000979911807937286
"GSM8571081_Uri-S88","CD41",1435,1722,2.03740237483816,0.16371978505585,1.87368258978231,1.14250492299828,1.57370927345057,0.0040650406504065
"GSM8571046_Abd-S49","CD41",664,2205,2.06032778350511,0.16371978505585,1.89660799844926,0.726245946874838,1.51681463525385,0.00226757369614512
"GSM8571049_Abd-S66","CD41",1313,1997,2.10465967805071,0.16371978505585,1.94093989299486,0.989504009585991,1.71128076347655,0
"GSM8571056_HC01","CD41",1715,4377,2.07159636300569,0.0852066782064391,1.98638968479925,0.537391699263323,1.11372038216401,0.00616860863605209
"GSM8571061_IC10","CD41",899,5335,2.13666470740947,0.0852066782064391,2.05145802920303,0.484026552054494,1.11372038216401,0.00243673851921275
"GSM8571077_Res-S70","CD41",63,284,2.24596181779039,0.16371978505585,2.08224203273454,0.588052705282894,1.09890152749394,0
"GSM8571047_Abd-S51","CD41",1066,1471,2.22695765522562,0.0852066782064391,2.14175097701918,1.11372038216401,1.86026952254463,0
"GSM8571060_IC09","CD41",2142,3351,2.31856047596757,0.16371978505585,2.15484069091172,0.588052705282894,1.91415949871262,0
"GSM8571063_IC23","CD41",2000,4750,2.50924531466613,0.16371978505585,2.34552552961028,0.588052705282894,2.03740237483816,0
"GSM8571055_Abd-S91","CD42b",520,2881,0,0,0,0.433096240695944,0,1
"GSM8571059_IC08","CD42b",1209,2148,0.734312750370208,0.433096240695944,0.301216509674264,0.965489900864423,0.433096240695944,0.562849162011173
"GSM8571074_Res-S22","CD42b",1062,3383,0.734312750370208,0.433096240695944,0.301216509674264,0.965489900864423,0.433096240695944,0.530889742831806
"GSM8571042_Abd-S111","CD42b",791,2648,0.433096240695944,0,0.433096240695944,0.433096240695944,0,1
"GSM8571043_Abd-S23","CD42b",134,1009,0.433096240695944,0,0.433096240695944,0.433096240695944,0,1
"GSM8571044_Abd-S42","CD42b",760,1765,0.433096240695944,0,0.433096240695944,0.433096240695944,0,1
"GSM8571046_Abd-S49","CD42b",664,2205,0.433096240695944,0,0.433096240695944,0.734312750370208,0.324822180521958,0.323356009070295
"GSM8571050_Abd-S67","CD42b",1042,2329,0.433096240695944,0,0.433096240695944,0.433096240695944,0,1
"GSM8571052_Abd-S80","CD42b",528,2231,0.433096240695944,0,0.433096240695944,0.734312750370208,0,1
"GSM8571053_Abd-S81","CD42b",491,1170,0.433096240695944,0,0.433096240695944,0.734312750370208,0,1
"GSM8571054_Abd-S9","CD42b",429,2059,0.433096240695944,0,0.433096240695944,0.734312750370208,0,1
"GSM8571057_HC05","CD42b",1178,4270,0.433096240695944,0,0.433096240695944,0.433096240695944,0,1
"GSM8571058_HC13","CD42b",851,3990,0.433096240695944,0,0.433096240695944,0.734312750370208,0,1
"GSM8571064_Res-S10","CD42b",272,3875,0.433096240695944,0,0.433096240695944,0.734312750370208,0,1
"GSM8571065_Res-S100","CD42b",338,2145,0.433096240695944,0,0.433096240695944,0.433096240695944,0,1
"GSM8571066_Res-S118","CD42b",521,1946,0.433096240695944,0,0.433096240695944,0.734312750370208,0,1
