"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"GSM8571058_HC13","DCs",144,136,8,0.944444444444444,8315,2031.5,2.48549156321055,0.894208930428271,0.971583392111251,0.0773744616829801,TRUE,FALSE,FALSE,3,3,2,0.834967575513683,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571053_Abd-S81","Monocytes",152,143,9,0.940789473684211,3321.5,1408.5,2.50919328201665,0.891308517766423,0.968539696014583,0.0772311782481601,TRUE,FALSE,FALSE,3,3,2,0.801220799574982,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571076_Res-S41","DCs",33,31,2,0.939393939393939,5690,1219,1.81268882175227,0.803937551913522,0.983219116912808,0.179281564999286,FALSE,FALSE,FALSE,3,3,1,0.639347734090865,1,"ADT_suspicious",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571077_Res-S70","Monocytes",115,108,7,0.939130434782609,4740,1558,2.35596911502673,0.879666877957846,0.97020488398667,0.0905380060288239,TRUE,FALSE,FALSE,3,3,2,1.82234331795638,0.341549295774648,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571060_IC09","Monocytes",1938,1819,119,0.93859649122807,3663.5,1950,2.11851974982858,0.927015951996777,0.948441718493187,0.0214257664964101,TRUE,TRUE,TRUE,3,3,2,1.6931412390268,0.353924201730827,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,TRUE,"trusted_but_extreme_PLA"
"GSM8571070_Res-S166","Monocytes",189,177,12,0.936507936507937,5777,1231,1.56963804615204,0.892314871908321,0.963310267048021,0.0709953951397,TRUE,FALSE,FALSE,3,3,2,0.740713546581506,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571065_Res-S100","Monocytes",183,171,12,0.934426229508197,3926,1194,2.76305220883534,0.888894335519117,0.9620945242531,0.073200188733983,TRUE,FALSE,FALSE,3,3,2,1.13003888710966,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571062_IC19","Monocytes",1895,1766,129,0.931926121372032,4151,1391,1.91461836998706,0.919689840943516,0.942414782059968,0.0227249411164514,TRUE,TRUE,TRUE,3,3,2,1.51813989712734,0.453466912733984,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,TRUE,"trusted_but_extreme_PLA"
"GSM8571047_Abd-S51","Monocytes",1021,951,70,0.931439764936337,6225,1151,3.15226569096538,0.914266759617627,0.945378400536008,0.0311116409183805,TRUE,TRUE,TRUE,3,3,2,1.40797904351285,0.301155676410605,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,TRUE,"trusted_but_extreme_PLA"
"GSM8571051_Abd-S75","Monocytes",902,836,66,0.926829268292683,4806,1551.5,2.37533566417517,0.907964238326896,0.94207413483661,0.0341098965097144,TRUE,TRUE,TRUE,3,3,2,1.32227860208739,0.43558282208589,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,TRUE,"trusted_but_extreme_PLA"
