"group_id","n_markers_total","n_markers_tested","n_markers_pass","mean_median_difference","max_pf_overlap","sample_adt_status"
"GSM8571042_Abd-S111",3,3,2,1.02484459912223,1,"ADT_ok"
"GSM8571043_Abd-S23",3,3,1,0.590311540509736,1,"ADT_suspicious"
"GSM8571044_Abd-S42",3,3,2,0.888072634515406,1,"ADT_ok"
"GSM8571045_Abd-S45",3,3,2,1.20851572363554,0.417206290471785,"ADT_ok"
"GSM8571046_Abd-S49",3,3,2,1.31715054967647,0.323356009070295,"ADT_ok"
"GSM8571047_Abd-S51",3,3,2,1.40797904351285,0.301155676410605,"ADT_ok"
"GSM8571048_Abd-S55",3,3,2,0.886416706122559,0.224347826086957,"ADT_ok"
"GSM8571049_Abd-S66",3,3,2,1.52476658957458,0.391587381071607,"ADT_ok"
"GSM8571050_Abd-S67",3,3,2,0.763858839516383,1,"ADT_ok"
"GSM8571051_Abd-S75",3,3,2,1.32227860208739,0.43558282208589,"ADT_ok"
"GSM8571052_Abd-S80",3,3,2,1.01561616858739,1,"ADT_ok"
"GSM8571053_Abd-S81",3,3,2,0.801220799574982,1,"ADT_ok"
"GSM8571054_Abd-S9",3,3,2,0.839651867903953,1,"ADT_ok"
"GSM8571055_Abd-S91",3,3,2,0.741802568254908,1,"ADT_ok"
"GSM8571056_HC01",3,3,2,1.30553294232635,1,"ADT_ok"
"GSM8571057_HC05",3,3,2,0.87300063609437,1,"ADT_ok"
"GSM8571058_HC13",3,3,2,0.834967575513683,1,"ADT_ok"
"GSM8571059_IC08",3,3,2,1.03222291408727,0.562849162011173,"ADT_ok"
"GSM8571060_IC09",3,3,2,1.6931412390268,0.353924201730827,"ADT_ok"
"GSM8571061_IC10",3,3,2,1.66424806187074,0.431677600749766,"ADT_ok"
"GSM8571062_IC19",3,3,2,1.51813989712734,0.453466912733984,"ADT_ok"
"GSM8571063_IC23",3,3,2,1.82270337233913,0.113894736842105,"ADT_ok"
"GSM8571064_Res-S10",3,3,1,0.668542848410657,1,"ADT_suspicious"
"GSM8571065_Res-S100",3,3,2,1.13003888710966,1,"ADT_ok"
"GSM8571066_Res-S118",3,3,1,0.684623143029744,1,"ADT_suspicious"
"GSM8571067_Res-S146",3,3,2,0.790029875132853,1,"ADT_ok"
"GSM8571068_Res-S149",3,3,2,1.34133027423739,0.266536011758942,"ADT_ok"
"GSM8571069_Res-S164",3,3,2,1.08674673357499,0.346062992125984,"ADT_ok"
"GSM8571070_Res-S166",3,3,2,0.740713546581506,1,"ADT_ok"
"GSM8571071_Res-S170",3,3,2,0.947147310614878,0.308877928483354,"ADT_ok"
"GSM8571072_Res-S183",3,3,2,1.07174654229526,0.342062852538276,"ADT_ok"
"GSM8571073_Res-S19",3,3,2,0.842288280344955,0.623270440251572,"ADT_ok"
"GSM8571074_Res-S22",3,3,1,0.80234036927297,0.530889742831806,"ADT_suspicious"
"GSM8571075_Res-S40",3,3,2,0.688900827469039,1,"ADT_ok"
"GSM8571076_Res-S41",3,3,1,0.639347734090865,1,"ADT_suspicious"
"GSM8571077_Res-S70",3,3,2,1.82234331795638,0.341549295774648,"ADT_ok"
"GSM8571078_Uri-S134",3,3,2,1.05334136422539,0.442718446601942,"ADT_ok"
"GSM8571079_Uri-S157",3,3,2,0.957135924337797,1,"ADT_ok"
"GSM8571080_Uri-S85",3,3,2,1.10348790814549,0.363057324840764,"ADT_ok"
"GSM8571081_Uri-S88",3,3,2,1.19384936007521,1,"ADT_ok"
