"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"DCs","DCs",42,0,2256,472,0.101807818317561,5738,0.0895782502614151,0.509138380137746,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",8,9,2435,8722,-0.134231517426011,34211,0.255181082108094,0.501121926213181,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.0701041239374997,117212,0,0,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
"neutrophils","neutrophils",0,0,0,0,1.12369659388384,4210,0,0,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",17,3,7487,19397,-0.134075854797122,26904,0.721602735652691,0.501055409597538,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
"B cells","B cells",9,4,479,20784,-0.11819485688333,21276,0.977298364354202,0.509125102080917,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",47,1,5633,45048,-0.0974506745389374,50729,0.88893926550888,0.504126224906329,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",116,0,20876,3479,0.0413974837162978,24471,0.146908585672837,0.502762957173222,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,3.81041768190968,292,0,0,"sepsis","AUCell","HP","gmm_dist_dual","raw","biologist"
