"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"B cells","B cells",14,60,95,922,1.09790554254064,1093,0.856358645928637,0.533670284252001,"impact","AUCell","gmm_dist_dual","raw","biologist"
"CD4 T cells","CD4 T cells",41,49,529,4003,-0.58361250056112,4636,0.872303710094909,0.529918515254636,"impact","AUCell","gmm_dist_dual","raw","biologist"
"CD8 T cells","CD8 T cells",3,22,110,2097,-0.799283982113802,2238,0.938337801608579,0.508083208041689,"impact","AUCell","gmm_dist_dual","raw","biologist"
"DCs","DCs",0,33,0,29,1.10651356923135,74,0.391891891891892,0.233870963969823,"impact","AUCell","gmm_dist_dual","raw","biologist"
"NK cells","NK cells",2,9,33,443,-0.802372713138782,584,0.761986301369863,0.518615674458544,"impact","AUCell","gmm_dist_dual","raw","biologist"
"Unassigned","Unassigned",0,0,0,0,0.292636119287326,12103,0,0,"impact","AUCell","gmm_dist_dual","raw","biologist"
"Monocytes","Monocytes",335,3482,299,5898,-0.0643520059050925,10014,0.622428599960056,0.578587907239802,"impact","AUCell","gmm_dist_dual","raw","biologist"
"Neutrophils","Neutrophils",38,111,41,605,0.118179003969994,7340,0.0876021798365123,0.662992358999029,"impact","AUCell","gmm_dist_dual","raw","biologist"
NA,NA,0,0,0,0,-0.00986672721882271,8480,0,0,"impact","AUCell","gmm_dist_dual","raw","biologist"
