"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",0,5,5,156,0.00797735035434099,166,0.939759036144578,0.484472046680298,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",7,549,42,1139,-0.192868350358173,1737,0.659758203799655,0.408810086358653,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",1,113,3,543,0.557201339194345,660,0.824242424242424,0.538871919338618,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",38,629,174,3006,0.290129377824623,3847,0.791265921497271,0.503102695993569,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,18,0,42,-0.0128703404193235,60,0.7,0.349999994166667,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Macrophages","Macrophages",12,814,114,1851,-0.286402130579057,2791,0.667502687208886,0.394898596829381,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",36,765,330,1334,-0.14477557641074,2465,0.55578093306288,0.366950694424442,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",0,5,0,8,0.535670342675355,13,0.615384615384615,0.30769228402367,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,0,0,2,-0.0819338386327204,2,1,0.499999750000125,"heart","AUCell","MANNE_UP","gmm_dist_dual","raw","gmm_dual"
