"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"B cells","B cells",2,6,22,136,0.17720688071454,166,0.831325301204819,0.520539900994829,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
"DCs","DCs",71,1593,4,69,0.737217183718355,1737,0.0805987334484744,0.494091449753415,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
"NK cells","NK cells",7,57,61,535,-1.16951899944748,660,0.821212121212121,0.503328694823208,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
"Unassigned","Unassigned",285,1383,26,2153,-0.453224132909872,3847,0.633740577073044,0.762639400602645,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
"CD4 T cells","CD4 T cells",0,48,0,12,0.168563322881839,60,0.2,0.0999999983333334,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
"Macrophages","Macrophages",169,2474,4,144,0.308736947706778,2791,0.112146184163382,0.515941213379379,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
"Neutrophils","Neutrophils",513,1561,46,345,0.143039746226459,2465,0.348073022312373,0.54935877013445,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
"CD8 T cells","CD8 T cells",0,2,0,11,-1.31942148372905,13,0.846153846153846,0.423076890532547,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
NA,NA,0,1,0,1,-0.882963480027942,2,0.5,0.249999875000062,"heart","AUCell","gmm_dist_dual","raw","gmm_single"
