"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"DCs","DCs",356,3858,163,1361,0.792754792338623,5738,0.299233182293482,0.473356207418493,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",4173,2434,5141,22463,-0.380215072617722,34211,0.778579988892461,0.675136216527623,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",40963,6628,35917,33704,0.0842769206082727,117212,0.637025219260827,0.684240683298037,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
"neutrophils","neutrophils",0,1702,0,2508,0.267099717197323,4210,0.595724465558195,0.297862232708346,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",576,1116,6382,18830,-0.583829556163871,26904,0.721305382099316,0.513415670397815,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
"B cells","B cells",535,1114,3453,16174,1.58730887441397,21276,0.78534498965971,0.534857348494101,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,1008,0,49721,-0.630112419337323,50729,0.980129708845039,0.490064854412859,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,16200,0,8271,0.448151260671655,24471,0.337991908789996,0.168995954388092,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,132,0,160,1.33556442060402,292,0.547945205479452,0.273972601801464,"sepsis","AUCell","gmm_dist_dual","raw","gmm_dual"
