"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"DCs","CD8 TEM_1",0,0,6,0,-0.647287371603328,8,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_2",0,0,3,0,-0.662485634177807,3,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_4",0,0,2,0,-0.821246820009425,7,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","CD8 TEM_5",0,0,1,0,-1.21243459259685,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","Doublet",14,0,2,1,0.994861824117567,19,0.789473684210526,0.937499472656752,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","Eryth",0,0,0,0,0.44183694742799,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","HSPC",0,0,4,0,-0.46791561004388,4,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","MAIT",0,0,3,0,-0.512876656719859,3,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","NK Proliferating",0,0,4,0,-0.605702436325622,4,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","NK_1",0,0,0,1,-0.949443580466525,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","NK_2",0,0,1,0,-0.88224398430704,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","NK_3",0,0,1,0,-1.19321495501214,2,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","NK_CD56bright",0,0,0,0,-0.345753381223089,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","Platelet",17,0,19,0,1.25991066363733,39,0.435897435897436,0.236111104552469,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","Treg Memory",0,0,2,0,-0.624645532362349,2,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","Treg Naive",0,0,3,1,-0.705326528985928,4,0.25,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","cDC1",2,0,1,0,2.39532644236873,3,0.666666666666667,0.333333222222259,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","cDC2_1",18,0,0,0,1.81786159992553,18,1,0.499999972222224,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","cDC2_2",45,12,1,0,1.78873255687149,58,0.775862068965517,0.489130424149339,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","dnT_2",0,0,1,0,-0.571134742827945,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","gdT_1",0,0,1,0,-0.637504714343485,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","gdT_2",0,0,0,2,-0.765543451058882,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
