"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"DCs","CD8 TCM_2",0,0,0,4,-0.589990083092019,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TCM_3",0,0,0,3,-0.81235575070553,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TEM_1",0,0,0,8,-0.664638286115379,8,1,0.499999937500008,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TEM_2",0,0,0,3,-0.785248668181067,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TEM_4",0,0,0,7,-0.835643079132765,7,1,0.499999928571439,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TEM_5",0,0,0,1,-0.87053455707606,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","Doublet",16,0,0,3,0.947867353172613,19,1,0.999999802083391,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","Eryth",0,1,0,0,0.945916574945825,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","HSPC",0,0,0,4,-0.409714154160198,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","MAIT",0,0,0,3,-0.64916004979295,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","NK Proliferating",0,0,0,4,-0.622214318950181,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","NK_1",0,0,0,1,-0.997771883211291,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","NK_2",0,0,0,1,-0.838725225542252,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","NK_3",0,0,0,2,-1.11366849114751,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","NK_CD56bright",0,0,0,1,-0.242922615769884,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","Platelet",15,1,22,1,1.26052753091198,39,0.41025641025641,0.452702572224314,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","Treg Memory",0,0,0,2,-0.701530195622524,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","Treg Naive",0,0,0,4,-0.647869236339404,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","cDC1",1,0,2,0,2.30984539053893,3,0.333333333333333,0.16666661111113,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","cDC2_1",6,12,0,0,1.82549837574951,18,0.333333333333333,0.499999916666681,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","cDC2_2",6,51,1,0,1.80799714966425,58,0.103448275862069,0.428571367346948,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","dnT_2",0,0,0,1,-0.429352958846289,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","gdT_1",0,0,0,1,-0.532249231286085,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","gdT_2",0,1,0,1,-0.644550001744572,2,0.5,0.249999875000062,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","gdT_3",0,0,0,2,-0.481354300831992,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"DCs","pDC",5,0,1,0,3.05455255227391,6,0.833333333333333,0.416666597222234,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","CD14 Mono",0,0,0,1,-0.0537262438644522,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","CD16 Mono",2,3,0,0,0.738630374498559,5,0.4,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.0412791141338316,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.742190819409217,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.816458693468586,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","CD8 TEM_4",0,0,0,4,-0.760792363284422,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","CD8 TEM_5",0,0,0,12,-0.862835776835268,12,1,0.499999958333337,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","NK Proliferating",0,0,0,29,-0.873214743631082,29,1,0.499999982758621,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","NK_1",0,6,5,559,-0.877326856290075,570,0.980701754385965,0.494690264611168,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","NK_2",0,1,5,256,-0.880139644971665,262,0.977099236641221,0.498054472770216,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","NK_3",0,1,0,32,-0.734580049176622,33,0.96969696969697,0.484848470156107,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","NK_4",0,1,0,16,-0.698357397848052,17,0.941176470588235,0.470588207612458,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","NK_CD56bright",0,1,0,0,0.230344916876598,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","cDC2_2",1,0,0,0,1.59897598147905,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","gdT_2",0,0,0,1,-1.16290380430419,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Early-NK-cells","pDC",2,1,1,0,3.19974601555757,4,0.5,0.333333222222259,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Intermediate-Monocytes","CD14 Mono",0,545,0,30,0.916230591455726,575,0.0521739130434783,0.0260869564763705,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Intermediate-Monocytes","CD16 Mono",0,1940,0,61,0.797361888998523,2001,0.0304847576211894,0.0152423788029773,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Intermediate-Monocytes","Doublet",0,124,0,4,0.878810122401609,128,0.03125,0.0156249998779297,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Intermediate-Monocytes","HSPC",0,1,0,0,0.146534243357087,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Intermediate-Monocytes","Platelet",0,2,0,0,0.433786337251518,2,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
