"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",1,1,61,1030,-0.145539176943515,1093,0.94327538883806,0.507579549462087,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,11,0,4625,-0.160572723508813,4636,0.99762726488352,0.498813632334164,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",1,4,175,2058,-0.186504437675292,2238,0.920017873100983,0.501870976728002,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",0,0,14,60,-0.124335053152502,74,0.810810810810811,0.499999991666667,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",2,2,51,529,-0.139417251225397,584,0.909246575342466,0.516984684062856,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",66,526,1073,10438,0.160719802570777,12103,0.867883995703545,0.504985187306287,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,284,0,9730,-0.0679821163231978,10014,0.971639704413821,0.485819852158396,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",75,182,1147,5936,0.121121423635444,7340,0.818937329700272,0.515813255727837,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,102,0,8378,-0.0874933066492257,8480,0.987971698113208,0.493985848998351,"impact","AUCell","HP","gmm_dist_dual","raw","gmm_dual"
