"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B cells","B cells",0,10,62,1021,-0.575124267776497,1093,0.934126258005489,0.495150338995974,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"CD4 T cells","CD4 T cells",0,58,0,4578,-0.0520121461049626,4636,0.98748921484038,0.493744607313688,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"CD8 T cells","CD8 T cells",6,81,170,1981,0.82987561171296,2238,0.887846291331546,0.497404329094406,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"DCs","DCs",0,3,14,57,-0.165610285705502,74,0.77027027027027,0.474999992083333,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"NK cells","NK cells",6,35,47,496,0.682112543599208,584,0.85958904109589,0.523647086138297,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Unassigned","Unassigned",92,759,1047,10205,-0.0425587745331463,12103,0.850780798149219,0.505773023872455,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Monocytes",0,1704,0,8310,0.283245980687713,10014,0.829838226482924,0.414919113200028,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
"Neutrophils","Neutrophils",42,187,1180,5931,-0.226915473761971,7340,0.813760217983651,0.501902170475806,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
NA,NA,0,155,0,8325,-0.239315787067245,8480,0.981721698113208,0.490860848998719,"impact","AUCell","WP","gmm_dist_dual","raw","gmm_dual"
