<<<<<<< HEAD
"group_id","n_markers_tested","n_markers_pass","mean_median_difference","max_pf_overlap","sample_adt_status"
"P1_0",5,5,0.858077946032424,0.0133779264214047,"ADT_ok"
"P1_2",5,5,0.927955864065106,0.0131170999284522,"ADT_ok"
"P1_7",5,5,0.833715894391342,0.0222593210907067,"ADT_ok"
"P2_0",5,5,0.743752993220511,0.0461289452387375,"ADT_ok"
"P2_2",5,5,0.932736195564438,0.0151177199504337,"ADT_ok"
"P2_7",5,5,0.686625774809018,0.041193556905202,"ADT_ok"
"P3_0",5,5,1.04511038385053,0.00449582530507386,"ADT_ok"
"P3_2",5,5,0.99691844887485,0.0159846547314578,"ADT_ok"
"P3_7",5,5,0.98188154273132,0.00616197183098592,"ADT_ok"
"P4_0",5,5,0.667906733371943,0.0532170775706554,"ADT_ok"
"P4_2",5,5,0.665417789068077,0.0573867678444392,"ADT_ok"
"P4_7",5,5,0.588956820714419,0.0748390557939914,"ADT_ok"
"P5_0",5,5,0.658938428970705,0.0232678386763185,"ADT_ok"
"P5_2",5,5,0.740637525646895,0.0336391437308868,"ADT_ok"
"P5_7",5,5,0.590008008995945,0.0487106017191977,"ADT_ok"
"P6_0",5,5,0.782193289401759,0.0225627926777352,"ADT_ok"
"P6_2",5,5,0.626484495084768,0.0291858678955453,"ADT_ok"
"P6_7",5,5,0.731984606789993,0.0264650283553875,"ADT_ok"
"P7_0",5,5,1.17452242211606,0.00762281197063806,"ADT_ok"
"P7_2",5,5,0.838092184993847,0.0305113880532875,"ADT_ok"
"P7_7",5,5,0.932602907403353,0.011005886869721,"ADT_ok"
"P8_0",5,5,0.567512349557531,0.0556368960468521,"ADT_ok"
"P8_2",5,5,0.629729224483273,0.0492827004219409,"ADT_ok"
"P8_7",5,5,0.687657347007995,0.0388211382113821,"ADT_ok"
=======
"group_id","n_markers_total","n_markers_tested","n_markers_pass","mean_median_difference","max_pf_overlap","sample_adt_status"
"P1_0",5,5,5,0.858077946032424,0.0133779264214047,"ADT_ok"
"P1_2",5,5,5,0.927955864065106,0.0131170999284522,"ADT_ok"
"P1_7",5,5,5,0.833715894391342,0.0222593210907067,"ADT_ok"
"P2_0",5,5,5,0.743752993220511,0.0461289452387375,"ADT_ok"
"P2_2",5,5,5,0.932736195564438,0.0151177199504337,"ADT_ok"
"P2_7",5,5,5,0.686625774809018,0.041193556905202,"ADT_ok"
"P3_0",5,5,5,1.02647878052976,0.00455136540962289,"ADT_ok"
"P3_2",5,5,5,0.99691844887485,0.0159846547314578,"ADT_ok"
"P3_7",5,5,5,0.98188154273132,0.00616197183098592,"ADT_ok"
"P4_0",5,5,5,0.667906733371943,0.0532170775706554,"ADT_ok"
"P4_2",5,5,4,0.665417789068077,0.0573867678444392,"ADT_ok"
"P4_7",5,5,3,0.588956820714419,0.0748390557939914,"ADT_ok"
"P5_0",5,5,5,0.658938428970705,0.0232678386763185,"ADT_ok"
"P5_2",5,5,5,0.740637525646895,0.0336391437308868,"ADT_ok"
"P5_7",5,5,2,0.505944135693911,0.0460238858141567,"ADT_ok"
"P6_0",5,5,5,0.782193289401759,0.0225627926777352,"ADT_ok"
"P6_2",5,5,4,0.626484495084768,0.0291858678955453,"ADT_ok"
"P6_7",5,5,5,0.731984606789993,0.0264650283553875,"ADT_ok"
"P7_0",5,5,5,1.17452242211606,0.00762281197063806,"ADT_ok"
"P7_2",5,5,5,0.838092184993847,0.0305113880532875,"ADT_ok"
"P7_7",5,5,5,0.932602907403353,0.011005886869721,"ADT_ok"
"P8_0",5,5,4,0.567512349557531,0.0556368960468521,"ADT_ok"
"P8_2",5,5,4,0.629729224483273,0.0492827004219409,"ADT_ok"
"P8_7",5,5,4,0.595753642035929,0.0378646803227809,"ADT_ok"
>>>>>>> 92464b0a76383f5b6ce643764ef351a48d1cd9cb
