"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"P6_7","CD8 T cells",344,9,335,0.0261627906976744,0.0138241903997737,0.0489672286988709,0.0351430382990972,TRUE
"P8_0","B cells",313,8,305,0.0255591054313099,0.0130069030776951,0.0496157691399667,0.0366088660622716,TRUE
"P5_0","B cells",144,3,141,0.0208333333333333,0.00711011939257292,0.059457532869504,0.052347413476931,TRUE
"P8_2","B cells",246,5,241,0.0203252032520325,0.0087122034012986,0.0466887652210782,0.0379765618197796,TRUE
"P7_0","CD8 T cells",939,19,920,0.020234291799787,0.0129915079928899,0.0313865350272265,0.0183950270343366,TRUE
"P7_7","CD8 T cells",818,16,802,0.019559902200489,0.0120751205149204,0.0315360388346274,0.0194609183197069,TRUE
"P7_7","B cells",1009,17,992,0.0168483647175421,0.010545544533219,0.0268161358079026,0.0162705912746836,TRUE
"P5_7","B cells",434,7,427,0.0161290322580645,0.00783438693570473,0.0329142869535822,0.0250799000178775,TRUE
"P8_2","NK cells",1435,23,1412,0.0160278745644599,0.0107036998943437,0.0239362936331888,0.0132325937388451,TRUE
"P1_7","B cells",188,3,185,0.0159574468085106,0.00544155841551921,0.0458583997957687,0.0404168413802495,TRUE
"P3_0","B cells",317,5,312,0.0157728706624606,0.00675555779176635,0.0363855589191809,0.0296300011274145,TRUE
"P5_2","B cells",193,3,190,0.0155440414507772,0.00530021524217904,0.0446966648848823,0.0393964496427033,TRUE
"P8_7","B cells",288,4,284,0.0138888888888889,0.00541402051157205,0.0351609508051985,0.0297469302936264,TRUE
"P5_0","CD8 T cells",579,7,572,0.0120898100172712,0.00586838331372886,0.0247427864146464,0.0188744031009176,TRUE
"P7_7","CD4 T cells",1598,19,1579,0.0118898623279099,0.00762490376961543,0.0184959452009803,0.0108710414313649,TRUE
"P2_7","B cells",355,4,351,0.0112676056338028,0.0043902355138249,0.0286089024888189,0.0242186669749941,TRUE
"P7_0","B cells",742,8,734,0.0107816711590297,0.00547315398005538,0.0211296294748453,0.0156564754947899,TRUE
"P7_2","CD8 T cells",858,9,849,0.0104895104895105,0.00552823041393685,0.0198145499746755,0.0142863195607386,TRUE
"P8_7","CD8 T cells",1643,17,1626,0.0103469263542301,0.00647010737759868,0.0165080965156847,0.010037989138086,TRUE
"P6_0","CD8 T cells",290,3,287,0.0103448275862069,0.00352429269653909,0.0299681180074913,0.0264438253109522,TRUE
"P7_2","B cells",1024,10,1014,0.009765625,0.00531303530472244,0.0178826225626386,0.0125695872579162,TRUE
"P4_7","B cells",419,4,415,0.00954653937947494,0.00371854877417568,0.0242859398436623,0.0205673910694866,TRUE
"P1_7","CD8 T cells",904,8,896,0.00884955752212389,0.00449089702783868,0.0173647459678762,0.0128738489400376,TRUE
"P1_0","CD8 T cells",1029,9,1020,0.0087463556851312,0.00460822458176673,0.016538737165521,0.0119305125837543,TRUE
"P4_0","B cells",383,3,380,0.00783289817232376,0.00266739653404034,0.0227731517740348,0.0201057552399945,TRUE
"P6_2","CD8 T cells",640,5,635,0.0078125,0.00334151634074383,0.0181567246175926,0.0148152082768488,TRUE
"P1_2","CD8 T cells",1053,8,1045,0.00759734093067426,0.00385462809004581,0.0149196721184592,0.0110650440284134,TRUE
"P3_7","B cells",273,2,271,0.00732600732600733,0.0020113598923682,0.0263133673869116,0.0243020074945434,TRUE
"P8_0","CD8 T cells",1376,10,1366,0.00726744186046512,0.00395229043537558,0.0133261140278956,0.00937382359252004,TRUE
"P4_2","B cells",417,3,414,0.00719424460431655,0.00244964786337669,0.0209355453356784,0.0184858974723017,TRUE
"P4_0","CD8 T cells",864,6,858,0.00694444444444444,0.00318647394315006,0.0150673887407335,0.0118809147975834,TRUE
"P6_0","CD4 T cells",935,6,929,0.00641711229946524,0.00294424101175195,0.013929171077008,0.010984930065256,TRUE
"P8_2","CD8 T cells",1887,12,1875,0.00635930047694754,0.00364153401920756,0.0110828410418611,0.00744130702265356,TRUE
"P5_2","CD4 T cells",652,4,648,0.00613496932515337,0.00238827998844379,0.0156670879079178,0.013278807919474,TRUE
"P2_0","B cells",337,2,335,0.00593471810089021,0.00162902535325842,0.0213771513243836,0.0197481259711251,TRUE
"P3_7","CD8 T cells",696,4,692,0.00574712643678161,0.00223714779095961,0.0146830541654209,0.0124459063744613,TRUE
"P7_2","CD4 T cells",2277,13,2264,0.0057092665788318,0.0033395993552386,0.0097439311572783,0.0064043318020397,TRUE
"P3_0","CD8 T cells",561,3,558,0.0053475935828877,0.00182029627021576,0.0156031039901717,0.013782807719956,TRUE
"P6_2","B cells",798,4,794,0.0050125313283208,0.00195095056474486,0.0128168800212539,0.0108659294565091,TRUE
"P6_7","CD4 T cells",1048,5,1043,0.00477099236641221,0.00203955282082862,0.0111197105877586,0.00908015776692994,TRUE
"P1_0","B cells",212,1,211,0.00471698113207547,0.000833148845866979,0.0262305063601831,0.0253973575143161,TRUE
"P5_7","CD4 T cells",1093,5,1088,0.00457456541628545,0.00195551616817594,0.0106638635146236,0.0087083473464477,TRUE
"P6_2","CD4 T cells",1989,9,1980,0.00452488687782805,0.00238239346062223,0.008577564605294,0.00619517114467177,TRUE
"P6_0","B cells",463,2,461,0.00431965442764579,0.00118540544305196,0.0156114292693207,0.0144260238262687,TRUE
"P8_7","CD4 T cells",1627,7,1620,0.00430239704978488,0.00208563157444658,0.00885440108427413,0.00676876950982755,TRUE
"P2_7","CD8 T cells",1030,4,1026,0.00388349514563107,0.0015112204265373,0.00994262360308955,0.00843140317655225,TRUE
"P3_7","CD4 T cells",1814,7,1807,0.00385887541345094,0.00187048992706313,0.00794414970177919,0.00607365977471606,TRUE
"P6_7","B cells",790,3,787,0.00379746835443038,0.00129230439755083,0.011104955422205,0.00981265102465414,TRUE
"P3_0","CD4 T cells",1361,5,1356,0.00367376928728876,0.00157020446694988,0.00857123630717049,0.00700103184022061,TRUE
"P8_0","CD4 T cells",1926,7,1919,0.00363447559709242,0.00176165126101633,0.00748338736075566,0.00572173609973933,TRUE
"P5_2","CD8 T cells",572,2,570,0.0034965034965035,0.000959391646574733,0.0126580002597899,0.0116986086132152,TRUE
"P4_7","CD8 T cells",874,3,871,0.0034324942791762,0.00116802969161335,0.0100429455041985,0.00887491581258518,TRUE
"P4_0","CD4 T cells",1700,5,1695,0.00294117647058824,0.00125692902460544,0.00686674865035524,0.0056098196257498,TRUE
"P3_2","CD4 T cells",1375,4,1371,0.00290909090909091,0.00113185238345678,0.00745612467869363,0.00632427229523685,TRUE
"P5_7","CD8 T cells",1048,3,1045,0.00286259541984733,0.000974007971288654,0.00838240096103104,0.00740839298974239,TRUE
"P5_0","CD4 T cells",707,2,705,0.00282885431400283,0.000776116983071994,0.010255117511471,0.00947900052839903,TRUE
"P8_2","CD4 T cells",2257,6,2251,0.00265839610101905,0.00121891873332032,0.00578796746778349,0.00456904873446317,TRUE
"P1_7","CD4 T cells",1923,5,1918,0.00260010400416017,0.00111110461993762,0.00607239185162245,0.00496128723168483,TRUE
"P2_0","CD8 T cells",977,2,975,0.00204708290685773,0.000561563589548102,0.00743306056726744,0.00687149697771934,TRUE
"P3_2","CD8 T cells",502,1,501,0.00199203187250996,0.000351729130116981,0.0111962741401423,0.0108445450100254,TRUE
"P2_7","CD4 T cells",1609,3,1606,0.00186451211932878,0.000634300513057019,0.0054676376327358,0.00483333711967878,TRUE
"P1_2","CD4 T cells",2225,4,2221,0.00179775280898876,0.000699326160159503,0.00461350520962289,0.00391417904946338,TRUE
"P2_2","CD8 T cells",1119,2,1117,0.00178731009830206,0.000490281809374168,0.00649330323648788,0.00600302142711371,TRUE
"P4_2","CD8 T cells",1155,2,1153,0.00173160173160173,0.000474996161674264,0.00629164025869859,0.00581664409702433,TRUE
"P4_7","CD4 T cells",1634,2,1632,0.00122399020807834,0.000335726461594809,0.00445195233262759,0.00411622587103279,TRUE
"P2_0","CD4 T cells",1833,2,1831,0.0010911074740862,0.000299272038034082,0.00396971850714262,0.00367044646910854,TRUE
"P1_0","CD4 T cells",2085,2,2083,0.000959232613908873,0.000263095606987769,0.00349087949130485,0.00322778388431709,TRUE
"P4_2","CD4 T cells",2251,2,2249,0.000888494002665482,0.000243690927058222,0.00323391890223563,0.0029902279751774,TRUE
"P1_2","B cells",249,0,249,0,8.67361737988404e-19,0.0151931524150015,0.0151931524150015,TRUE
"P2_2","B cells",355,0,355,0,0,0.0107051700027048,0.0107051700027048,TRUE
"P2_2","CD4 T cells",2034,0,2034,0,1.0842021724855e-19,0.0018850626500244,0.0018850626500244,TRUE
"P3_2","B cells",210,0,210,0,0,0.0179640507592832,0.0179640507592832,TRUE
