"marker_label","n_PLA","n_platelet_free","pla_q25","pla_median","pla_q75","platelet_free_median","platelet_free_q95","platelet_free_above_pla_q25","platelet_free_above_pla_median"
"CD41",18825,89646,1.10732105820732,1.43420863947151,1.94492472354852,0.405082002458028,0.727643963243031,0.00089239899158914,0.000178479798317828
"CD42b",18825,89646,0.865158844411484,1.10433884266901,1.47992411128156,0.438353860846523,0.784813877632122,0.0331749325123263,0.00365883586551547
"CD61",18825,89646,1.03326715003227,1.35659840780205,1.7739911742414,0.429419319244624,0.821481983850628,0.0106307029873056,0.00044619949579457
"CD62P",18825,89646,0.943043424692146,1.18749458367583,1.60617548671088,0.46981545505253,0.707077374409893,0.00529861901256052,0.000747384155455904
"CLEC2",18825,89646,0.935149100190265,1.16653493258356,1.50145754892658,0.493896707986011,0.732780691184231,0.00493050442853,0.000223099747897285
