"celltype_id","total_pairs","usable_pairs","usable_samples","retained_cells","retained_PLA","mean_freq_PLA_usable"
"Monocytes",24,10,10,14732,14447,0.977913340242768
"DCs",24,20,20,4894,2757,0.581218906849512
"NK cells",24,24,24,17823,1197,0.0768794391107223
"CD8 T cells",24,24,24,21758,164,0.00813053479312727
"CD4 T cells",24,24,24,39105,159,0.00465149283374438
"B cells",24,24,24,10159,101,0.0103480929758849
"Neutrophils",23,0,0,0,0,NA
