"group_id","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_q95","pla_q25","platelet_free_above_pla_q25"
"P4_7","CD41",1530,3728,1.1306233879357,0.405082002458028,0.725541385477675,0.727643963243031,0.932590860268095,0.00348712446351931
"P5_7","CD41",42,3433,1.1306233879357,0.405082002458028,0.725541385477675,0.748111243179213,1.03523273342714,0.00378677541508884
"P4_0","CD41",1267,3326,1.21452797313558,0.405082002458028,0.809445970677554,0.734513040699545,0.984559690771955,0.00240529164161155
"P4_2","CD41",1082,4217,1.21028313378291,0.395519920242506,0.8147632135404,0.685408113362827,0.981894162606519,0.00260848944747451
"P5_0","CD41",167,1934,1.26410840883988,0.405082002458028,0.85902640638185,0.741335255650132,1.04656967283971,0.00258531540847983
"P6_2","CD41",68,4557,1.26611983216287,0.405082002458028,0.861037829704844,0.741335255650132,1.11903192665733,0.00175554092604784
"P2_7","CD41",879,3787,1.26813125548587,0.395519920242506,0.872611335243361,0.685408113362827,0.976534533724131,0.0023765513599155
"P8_0","CD41",138,4781,1.27213798365722,0.395519920242506,0.876618063414714,0.734513040699545,1.09903312705324,0.000418322526668061
"P8_7","CD41",66,4833,1.2839924733556,0.395519920242506,0.888472553113096,0.723494010308106,1.12252717489406,0
"P2_0","CD41",205,3707,1.31518390157418,0.405082002458028,0.910101899116157,0.692572467031953,1.02888043910321,0.00107903965470731
"P8_2","CD41",1969,5925,1.3113463115981,0.385865521159015,0.925480790439082,0.727643963243031,1.08346274852233,0.000337552742616034
"P5_2","CD41",2694,2289,1.39608641345252,0.414553516593145,0.981532896859377,0.78522587774948,1.13521939550783,0.000873743993010048
"P1_7","CD41",226,3594,1.43250552760438,0.405082002458028,1.02742352514635,0.741335255650132,1.13979437639631,0.000278241513633834
"P6_0","CD41",61,2349,1.4510678663454,0.405082002458028,1.04598586388737,0.734513040699545,1.20173901363396,0.00042571306939123
"P6_7","CD41",82,3174,1.45771070513234,0.405082002458028,1.05262870267431,0.727643963243031,1.17121708461472,0.000945179584120983
"P1_0","CD41",251,3887,1.46764756579373,0.405082002458028,1.0625655633357,0.699685857638551,1.11202516656231,0.00102907126318498
"P2_2","CD41",970,4035,1.57511587454925,0.395519920242506,1.17959595430675,0.699685857638551,1.19312126192723,0.000743494423791822
"P3_7","CD41",198,3408,1.59990767577707,0.405082002458028,1.19482567331905,0.685408113362827,1.18878437550253,0.000880281690140845
"P3_0","CD41",103,3076,1.61137062580427,0.409817759525586,1.20155286627868,0.685408113362827,1.266103648584,0.000325097529258778
"P1_2","CD41",1289,4193,1.61137062580427,0.405082002458028,1.20628862334624,0.702511116626299,1.19743942095743,0.00166944908180301
"P3_2","CD41",1574,3128,1.61705115969228,0.405082002458028,1.21196915723425,0.727643963243031,1.19312126192723,0.000319693094629156
"P7_7","CD41",347,3907,1.66407562915931,0.405082002458028,1.25899362670129,0.748111243179213,1.28800626172146,0.00153570514461223
"P7_2","CD41",110,4654,1.65864198210739,0.395519920242506,1.26312206186489,0.734513040699545,1.1995846154504,0.000644606789858186
"P7_0","CD41",3298,3542,2.00241403399252,0.414553516593145,1.58786051739938,0.78783038376991,1.48718703613282,0.000282326369282891
"P4_7","CD42b",1530,3728,0.903033480454663,0.438353860846523,0.464679619608141,0.784813877632122,0.742083380688554,0.0748390557939914
"P4_0","CD42b",1267,3326,0.939525823103097,0.438353860846523,0.501171962256574,0.784813877632122,0.784813877632122,0.0532170775706554
"P4_2","CD42b",1082,4217,0.939525823103097,0.438353860846523,0.501171962256574,0.742083380688554,0.742083380688554,0.0573867678444392
"P8_0","CD42b",138,4781,1.00874311267187,0.495820958970316,0.512922153701558,0.825793058289159,0.795058672796381,0.0556368960468521
"P8_7","CD42b",66,4833,1.00874311267187,0.495820958970316,0.512922153701558,0.825793058289159,0.865158844411484,0.0378646803227809
"P5_7","CD42b",42,3433,1.02518869088112,0.495820958970316,0.529367731910804,0.825793058289159,0.874627503422279,0.036411302068162
