"contrast","group","sender","receiver","ligand","receptor","lr_interaction","id","scaled_lfc_ligand","scaled_p_val_ligand_adapted","scaled_lfc_receptor","scaled_p_val_receptor_adapted","max_scaled_activity","scaled_pb_ligand","scaled_pb_receptor","fraction_expressing_ligand_receptor","prioritization_score","top_group"
"PLA-platelet.free","PLA","CD4.T.cells","B.cells","TGFB1","APP","TGFB1_APP","TGFB1_APP_CD4.T.cells_B.cells",0.814854682454252,0.843379978471475,0.89906103286385,0.862676056338028,1.001,0.909527605780573,0.927092839649666,0.95,0.91626772008234,"PLA"
"PLA-platelet.free","PLA","B.cells","CD4.T.cells","PF4","CXCR3","PF4_CXCR3","PF4_CXCR3_B.cells_CD4.T.cells",0.999192680301399,0.98708288482239,0.860328638497653,0.907276995305164,0.879137516737744,1.001,0.885043376178805,0.825,0.911186915396642,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","CD4.T.cells","TGFB1","ITGB1","TGFB1_ITGB1","TGFB1_ITGB1_CD4.T.cells_CD4.T.cells",0.814854682454252,0.843379978471475,0.813380281690141,0.879694835680751,0.83422249427167,0.909527605780573,1.001,1,0.903400831533425,"PLA"
"PLA-platelet.free","PLA","B.cells","CD8.T.cells","PF4","CXCR3","PF4_CXCR3","PF4_CXCR3_B.cells_CD8.T.cells",0.999192680301399,0.98708288482239,0.856807511737089,0.925469483568075,0.672986420958094,1.001,1.001,0.85,0.901543783528762,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","ANXA1","DYSF","ANXA1_DYSF","ANXA1_DYSF_Monocytes_Monocytes",0.80005382131324,0.928955866523143,0.871478873239437,0.937793427230047,0.611886443917465,1.001,1.001,1,0.8971712396784,"PLA"
"PLA-platelet.free","PLA","NK.cells","Monocytes","ANXA1","DYSF","ANXA1_DYSF","ANXA1_DYSF_NK.cells_Monocytes",0.806512378902045,0.871905274488697,0.871478873239437,0.937793427230047,0.611886443917465,0.996276440172472,1.001,1,0.892167976836675,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","S100A8","CD36","S100A8_CD36","S100A8_CD36_Monocytes_Monocytes",0.889128094725511,0.919268030139935,0.812793427230047,0.898474178403756,0.586890145424746,1.001,1.001,1,0.891453668445728,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","B.cells","TGFB1","APP","TGFB1_APP","TGFB1_APP_CD8.T.cells_B.cells",0.578040904198062,0.71259418729817,0.89906103286385,0.862676056338028,1.001,0.93781991558397,0.927092839649666,0.95,0.890349807597115,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","S100A9","CD36","S100A9_CD36","S100A9_CD36_Monocytes_Monocytes",0.888589881593111,0.929494079655544,0.812793427230047,0.898474178403756,0.57047660688332,1.001,1.001,1,0.889525398387425,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","CD4.T.cells","PF4","CXCR3","PF4_CXCR3","PF4_CXCR3_CD4.T.cells_CD4.T.cells",0.990581270182992,0.992465016146394,0.860328638497653,0.907276995305164,0.879137516737744,0.890889298449289,0.885043376178805,0.8,0.88839935857199,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","CD8.T.cells","CCL5","CXCR3","CCL5_CXCR3","CCL5_CXCR3_CD8.T.cells_CD8.T.cells",0.776910656620022,0.904198062432723,0.856807511737089,0.925469483568075,0.637185532969834,1.001,1.001,0.95,0.886813065024798,"PLA"
"PLA-platelet.free","PLA","NK.cells","B.cells","TGFB1","APP","TGFB1_APP","TGFB1_APP_NK.cells_B.cells",0.547362755651238,0.568353067814855,0.89906103286385,0.862676056338028,1.001,1.001,0.927092839649666,0.95,0.886303215997275,"PLA"
"PLA-platelet.free","PLA","Monocytes","CD4.T.cells","PF4","CXCR3","PF4_CXCR3","PF4_CXCR3_Monocytes_CD4.T.cells",0.966092572658773,0.977933261571582,0.860328638497653,0.907276995305164,0.879137516737744,0.78647445984923,0.885043376178805,0.9,0.884411847797061,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","NK.cells","TGFB1","TGFBR1","TGFB1_TGFBR1","TGFB1_TGFBR1_CD4.T.cells_NK.cells",0.814854682454252,0.843379978471475,0.658157276995305,0.636737089201878,1.001,0.909527605780573,1.001,0.9,0.881348686557005,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","Monocytes","ANXA1","DYSF","ANXA1_DYSF","ANXA1_DYSF_CD8.T.cells_Monocytes",0.745963401506997,0.898277717976319,0.871478873239437,0.937793427230047,0.611886443917465,0.944924197781031,1.001,1,0.880761225279149,"PLA"
"PLA-platelet.free","PLA","Monocytes","NK.cells","S100A8","ITGB2","S100A8_ITGB2","S100A8_ITGB2_Monocytes_NK.cells",0.889128094725511,0.919268030139935,0.713321596244131,0.835680751173709,0.620153615670925,1.001,0.983556819865605,1,0.880568278613029,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","PF4","LDLR","PF4_LDLR","PF4_LDLR_B.cells_Monocytes",0.999192680301399,0.98708288482239,0.752347417840376,0.749413145539906,0.760844135623773,1.001,1.001,0.775,0.880310366645968,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","Monocytes","TGFB1","APP","TGFB1_APP","TGFB1_APP_CD4.T.cells_Monocytes",0.814854682454252,0.843379978471475,0.710680751173709,0.747652582159624,0.812436140885924,0.909527605780573,1.001,1,0.880207957299338,"PLA"
