"contrast","group","sender","receiver","ligand","receptor","lr_interaction","id","scaled_lfc_ligand","scaled_p_val_ligand_adapted","scaled_lfc_receptor","scaled_p_val_receptor_adapted","max_scaled_activity","scaled_pb_ligand","scaled_pb_receptor","fraction_expressing_ligand_receptor","prioritization_score","top_group"
"PLA-platelet.free","PLA","Monocytes","B.cells","S100A8","CD36","S100A8_CD36","S100A8_CD36_Monocytes_B.cells",0.889128094725511,0.919268030139935,0.990610328638498,0.994131455399061,0.584348059271885,1.001,0.816416101046481,0.975,0.878888852461644,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","CD8.T.cells","PF4","CXCR3","PF4_CXCR3","PF4_CXCR3_CD4.T.cells_CD8.T.cells",0.990581270182992,0.992465016146394,0.856807511737089,0.925469483568075,0.672986420958094,0.890889298449289,1.001,0.825,0.87875622670411,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","CD4.T.cells","TGFB1","ITGB1","TGFB1_ITGB1","TGFB1_ITGB1_CD8.T.cells_CD4.T.cells",0.578040904198062,0.71259418729817,0.813380281690141,0.879694835680751,0.83422249427167,0.93781991558397,1.001,1,0.8774829190482,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","S100A8","CD36","S100A8_CD36","S100A8_CD36_B.cells_Monocytes",0.999192680301399,0.990312163616792,0.812793427230047,0.898474178403756,0.586890145424746,0.814250035726224,1.001,1,0.875421067654494,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","S100A9","CD36","S100A9_CD36","S100A9_CD36_B.cells_Monocytes",1,0.991926803013993,0.812793427230047,0.898474178403756,0.57047660688332,0.827273905831166,1.001,1,0.875057952839731,"PLA"
"PLA-platelet.free","PLA","Monocytes","CD8.T.cells","PF4","CXCR3","PF4_CXCR3","PF4_CXCR3_Monocytes_CD8.T.cells",0.966092572658773,0.977933261571582,0.856807511737089,0.925469483568075,0.672986420958094,0.78647445984923,1.001,0.925,0.87476871592918,"PLA"
"PLA-platelet.free","PLA","NK.cells","CD4.T.cells","TGFB1","ITGB1","TGFB1_ITGB1","TGFB1_ITGB1_NK.cells_CD4.T.cells",0.547362755651238,0.568353067814855,0.813380281690141,0.879694835680751,0.83422249427167,1.001,1.001,1,0.87343632744836,"PLA"
"PLA-platelet.free","PLA","Monocytes","B.cells","TGFB1","APP","TGFB1_APP","TGFB1_APP_Monocytes_B.cells",0.690527448869752,0.727664155005382,0.89906103286385,0.862676056338028,1.001,0.751517294133454,0.927092839649666,0.95,0.869929080053604,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","ANXA1","FPR1","ANXA1_FPR1","ANXA1_FPR1_Monocytes_Monocytes",0.80005382131324,0.928955866523143,0.681044600938967,0.801056338028169,0.611886443917465,1.001,1.001,1,0.869906959553204,"PLA"
"PLA-platelet.free","PLA","B.cells","B.cells","FCN1","LRP1","FCN1_LRP1","FCN1_LRP1_B.cells_B.cells",0.98708288482239,0.991388589881593,0.997652582159624,0.997065727699531,0.63359008944218,0.841600316979421,0.826046703109827,0.925,0.868805333635499,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","ANXA1","DYSF","ANXA1_DYSF","ANXA1_DYSF_B.cells_Monocytes",0.97524219590958,0.998923573735199,0.871478873239437,0.937793427230047,0.611886443917465,0.751789554022726,1.001,0.95,0.867732505499554,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","CD4.T.cells","CCL5","CXCR3","CCL5_CXCR3","CCL5_CXCR3_CD8.T.cells_CD4.T.cells",0.776910656620022,0.904198062432723,0.860328638497653,0.907276995305164,0.666463652780874,1.001,0.885043376178805,0.925,0.866977367564577,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","B.cells","TGFB1","ITGB3","TGFB1_ITGB3","TGFB1_ITGB3_CD4.T.cells_B.cells",0.814854682454252,0.843379978471475,1,0.974765258215962,1.001,0.909527605780573,0.868935369449333,0.6,0.865993822466792,"PLA"
"PLA-platelet.free","PLA","Monocytes","B.cells","ANXA1","FPR1","ANXA1_FPR1","ANXA1_FPR1_Monocytes_B.cells",0.80005382131324,0.928955866523143,0.991784037558685,0.995305164319249,0.630953223232386,1.001,0.805230174263789,0.9,0.865872140392222,"PLA"
"PLA-platelet.free","PLA","NK.cells","Monocytes","ANXA1","FPR1","ANXA1_FPR1","ANXA1_FPR1_NK.cells_Monocytes",0.806512378902045,0.871905274488697,0.681044600938967,0.801056338028169,0.611886443917465,0.996276440172472,1.001,1,0.864903696711479,"PLA"
"PLA-platelet.free","PLA","B.cells","NK.cells","S100A8","ITGB2","S100A8_ITGB2","S100A8_ITGB2_B.cells_NK.cells",0.999192680301399,0.990312163616792,0.713321596244131,0.835680751173709,0.620153615670925,0.814250035726224,0.983556819865605,1,0.864535677821795,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","S100A8","TLR4","S100A8_TLR4","S100A8_TLR4_Monocytes_Monocytes",0.889128094725511,0.919268030139935,0.651701877934272,0.730633802816901,0.586890145424746,1.001,1.001,1,0.864042674705509,"PLA"
"PLA-platelet.free","PLA","B.cells","B.cells","S100A8","CD36","S100A8_CD36","S100A8_CD36_B.cells_B.cells",0.999192680301399,0.990312163616792,0.990610328638498,0.994131455399061,0.584348059271885,0.814250035726224,0.816416101046481,0.975,0.862856251670411,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","THBS1","CD36","THBS1_CD36","THBS1_CD36_Monocytes_Monocytes",0.878363832077503,0.885898815931109,0.812793427230047,0.898474178403756,0.73309421762441,1.001,1.001,0.7,0.862143224074269,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","S100A9","TLR4","S100A9_TLR4","S100A9_TLR4_Monocytes_Monocytes",0.888589881593111,0.929494079655544,0.651701877934272,0.730633802816901,0.57047660688332,1.001,1.001,1,0.862114404647206,"PLA"
"PLA-platelet.free","PLA","Monocytes","B.cells","S100A9","CD36","S100A9_CD36","S100A9_CD36_Monocytes_B.cells",0.888589881593111,0.929494079655544,0.990610328638498,0.994131455399061,0.477994360807601,1.001,0.816416101046481,0.975,0.861970555749531,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","CD4.T.cells","TGFB1","ITGB3","TGFB1_ITGB3","TGFB1_ITGB3_CD4.T.cells_CD4.T.cells",0.814854682454252,0.843379978471475,0.99618544600939,0.996478873239437,0.83422249427167,0.909527605780573,1.001,0.6,0.86169993168992,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","Monocytes","ANXA1","DYSF","ANXA1_DYSF","ANXA1_DYSF_CD4.T.cells_Monocytes",0.725780409041981,0.83692142088267,0.871478873239437,0.937793427230047,0.611886443917465,0.871020483324293,1.001,1,0.861648998739804,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","S100A8","ITGB2","S100A8_ITGB2","S100A8_ITGB2_Monocytes_Monocytes",0.889128094725511,0.919268030139935,0.618544600938967,0.734154929577465,0.586890145424746,1.001,1.001,1,0.861572995519281,"PLA"
"PLA-platelet.free","PLA","NK.cells","B.cells","ANXA1","FPR1","ANXA1_FPR1","ANXA1_FPR1_NK.cells_B.cells",0.806512378902045,0.871905274488697,0.991784037558685,0.995305164319249,0.630953223232386,0.996276440172472,0.805230174263789,0.9,0.860868877550498,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","S100A9","ITGB2","S100A9_ITGB2","S100A9_ITGB2_Monocytes_Monocytes",0.888589881593111,0.929494079655544,0.618544600938967,0.734154929577465,0.57047660688332,1.001,1.001,1,0.859644725460977,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","Monocytes","PF4","LDLR","PF4_LDLR","PF4_LDLR_CD4.T.cells_Monocytes",0.990581270182992,0.992465016146394,0.752347417840376,0.749413145539906,0.760844135623773,0.890889298449289,1.001,0.75,0.857522809821316,"PLA"
"PLA-platelet.free","PLA","Monocytes","CD4.T.cells","TGFB1","ITGB1","TGFB1_ITGB1","TGFB1_ITGB1_Monocytes_CD4.T.cells",0.690527448869752,0.727664155005382,0.813380281690141,0.879694835680751,0.83422249427167,0.751517294133454,1.001,1,0.85706219150469,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","NK.cells","TGFB1","TGFBR1","TGFB1_TGFBR1","TGFB1_TGFBR1_CD8.T.cells_NK.cells",0.578040904198062,0.71259418729817,0.658157276995305,0.636737089201878,1.001,0.93781991558397,1.001,0.9,0.85543077407178,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","Monocytes","TGFB1","APP","TGFB1_APP","TGFB1_APP_CD8.T.cells_Monocytes",0.578040904198062,0.71259418729817,0.710680751173709,0.747652582159624,0.812436140885924,0.93781991558397,1.001,1,0.854290044814113,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","CD8.T.cells","CCL5","CXCR3","CCL5_CXCR3","CCL5_CXCR3_CD4.T.cells_CD8.T.cells",0.933261571582347,0.969321851453176,0.856807511737089,0.925469483568075,0.637185532969834,0.694078689805693,1.001,0.95,0.854115738657645,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","PF4","LDLR","PF4_LDLR","PF4_LDLR_Monocytes_Monocytes",0.966092572658773,0.977933261571582,0.752347417840376,0.749413145539906,0.760844135623773,0.78647445984923,1.001,0.85,0.853535299046387,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","Monocytes","ANXA1","FPR1","ANXA1_FPR1","ANXA1_FPR1_CD8.T.cells_Monocytes",0.745963401506997,0.898277717976319,0.681044600938967,0.801056338028169,0.611886443917465,0.944924197781031,1.001,1,0.853496945153953,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","S100A9","ALCAM","S100A9_ALCAM","S100A9_ALCAM_Monocytes_Monocytes",0.888589881593111,0.929494079655544,0.843603286384977,0.820422535211268,0.57047660688332,1.001,1.001,0.8,0.852255249717628,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","FCN1","LRP1","FCN1_LRP1","FCN1_LRP1_B.cells_Monocytes",0.98708288482239,0.991388589881593,0.662558685446009,0.776408450704225,0.637085452704105,0.841600316979421,1.001,0.925,0.852234179185106,"PLA"
"PLA-platelet.free","PLA","NK.cells","NK.cells","TGFB1","TGFBR1","TGFB1_TGFBR1","TGFB1_TGFBR1_NK.cells_NK.cells",0.547362755651238,0.568353067814855,0.658157276995305,0.636737089201878,1.001,1.001,1.001,0.9,0.85138418247194,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","PSAP","LRP1","PSAP_LRP1","PSAP_LRP1_B.cells_Monocytes",0.94940796555436,0.973627556512379,0.662558685446009,0.776408450704225,0.757074816342815,0.66630128492767,1.001,1,0.850896238396495,"PLA"
"PLA-platelet.free","PLA","NK.cells","Monocytes","TGFB1","APP","TGFB1_APP","TGFB1_APP_NK.cells_Monocytes",0.547362755651238,0.568353067814855,0.710680751173709,0.747652582159624,0.812436140885924,1.001,1.001,1,0.850243453214273,"PLA"
"PLA-platelet.free","PLA","Monocytes","NK.cells","S100A9","ITGB2","S100A9_ITGB2","S100A9_ITGB2_Monocytes_NK.cells",0.888589881593111,0.929494079655544,0.713321596244131,0.835680751173709,0.429233546383061,1.001,0.983556819865605,1,0.849555586763652,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","B.cells","ANXA1","FPR1","ANXA1_FPR1","ANXA1_FPR1_CD8.T.cells_B.cells",0.745963401506997,0.898277717976319,0.991784037558685,0.995305164319249,0.630953223232386,0.944924197781031,0.805230174263789,0.9,0.849462125992972,"PLA"
"PLA-platelet.free","PLA","Monocytes","B.cells","THBS1","ITGA2B","THBS1_ITGA2B","THBS1_ITGA2B_Monocytes_B.cells",0.878363832077503,0.885898815931109,0.999413145539906,0.979460093896714,0.677058571655418,1.001,0.996486844868317,0.55,0.849352226707725,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","S100A8","TLR4","S100A8_TLR4","S100A8_TLR4_B.cells_Monocytes",0.999192680301399,0.990312163616792,0.651701877934272,0.730633802816901,0.586890145424746,0.814250035726224,1.001,1,0.848010073914275,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","S100A9","TLR4","S100A9_TLR4","S100A9_TLR4_B.cells_Monocytes",1,0.991926803013993,0.651701877934272,0.730633802816901,0.57047660688332,0.827273905831166,1.001,1,0.847646959099512,"PLA"
"PLA-platelet.free","PLA","B.cells","B.cells","S100A9","CD36","S100A9_CD36","S100A9_CD36_B.cells_B.cells",1,0.991926803013993,0.990610328638498,0.994131455399061,0.477994360807601,0.827273905831166,0.816416101046481,0.975,0.847503110201837,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","S100A8","ITGB2","S100A8_ITGB2","S100A8_ITGB2_B.cells_Monocytes",0.999192680301399,0.990312163616792,0.618544600938967,0.734154929577465,0.586890145424746,0.814250035726224,1.001,1,0.845540394728047,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","S100A9","ITGB2","S100A9_ITGB2","S100A9_ITGB2_B.cells_Monocytes",1,0.991926803013993,0.618544600938967,0.734154929577465,0.57047660688332,0.827273905831166,1.001,1,0.845177279913283,"PLA"
"PLA-platelet.free","PLA","Monocytes","B.cells","S100A8","CD68","S100A8_CD68","S100A8_CD68_Monocytes_B.cells",0.889128094725511,0.919268030139935,0.956572769953052,0.955399061032864,0.584348059271885,1.001,0.699328094720268,0.925,0.844976688652972,"PLA"
"PLA-platelet.free","PLA","B.cells","B.cells","ANXA1","FPR1","ANXA1_FPR1","ANXA1_FPR1_B.cells_B.cells",0.97524219590958,0.998923573735199,0.991784037558685,0.995305164319249,0.630953223232386,0.751789554022726,0.805230174263789,0.9,0.84476673954671,"PLA"
"PLA-platelet.free","PLA","Monocytes","B.cells","S100A8","TLR4","S100A8_TLR4","S100A8_TLR4_Monocytes_B.cells",0.889128094725511,0.919268030139935,0.972417840375587,0.977112676056338,0.584348059271885,1.001,0.74937292243795,0.85,0.84394738372642,"PLA"
"PLA-platelet.free","PLA","B.cells","NK.cells","PF4","LDLR","PF4_LDLR","PF4_LDLR_B.cells_NK.cells",0.999192680301399,0.98708288482239,0.838028169014085,0.791666666666667,0.9386017412792,1.001,0.764971742675067,0.55,0.843759780726089,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","CD4.T.cells","TGFB1","APP","TGFB1_APP","TGFB1_APP_CD4.T.cells_CD4.T.cells",0.814854682454252,0.843379978471475,0.796654929577465,0.728286384976526,0.83422249427167,0.909527605780573,0.748657252837081,0.975,0.843165890104864,"PLA"
"PLA-platelet.free","PLA","B.cells","Monocytes","THBS1","CD36","THBS1_CD36","THBS1_CD36_B.cells_Monocytes",0.982777179763186,0.956942949407966,0.812793427230047,0.898474178403756,0.73309421762441,0.796906087359072,1.001,0.7,0.842749028730993,"PLA"
"PLA-platelet.free","PLA","B.cells","B.cells","THBS1","ITGA2B","THBS1_ITGA2B","THBS1_ITGA2B_B.cells_B.cells",0.982777179763186,0.956942949407966,0.999413145539906,0.979460093896714,0.677058571655418,0.796906087359072,0.996486844868317,0.625,0.842458031364449,"PLA"
"PLA-platelet.free","PLA","Monocytes","B.cells","ANXA1","DYSF","ANXA1_DYSF","ANXA1_DYSF_Monocytes_B.cells",0.80005382131324,0.928955866523143,0.994424882629108,0.978286384976526,0.630953223232386,1.001,0.743260840843322,0.825,0.841845756966119,"PLA"
"platelet.free-PLA","platelet.free","NK.cells","Monocytes","TGFB1","TGFBR2","TGFB1_TGFBR2","TGFB1_TGFBR2_NK.cells_Monocytes",0.453175457481163,0.432185145317546,0.599765258215962,0.665492957746479,1.001,0.990118569652768,0.979804672889529,1,0.841038775320479,"platelet.free"
