"contrast","sender","receiver","ligand","receptor","lfc_ligand","lfc_receptor","ligand_receptor_lfc_avg","p_val_ligand","p_adj_ligand","p_val_receptor","p_adj_receptor"
"PLA-platelet.free","B.cells","B.cells","HP","CD163",4.93,4.49,4.71,8.63e-15,2.9e-13,4.65e-17,2.28e-15
"PLA-platelet.free","CD4.T.cells","B.cells","FCN1","LRP1",4.25,5.12,4.685,1.83e-21,3.77e-19,1.83e-24,6.92e-22
"PLA-platelet.free","B.cells","B.cells","LILRA6","CD300E",4.52,4.81,4.665,1.14e-12,2.58e-11,4.02e-20,4.13e-18
"PLA-platelet.free","B.cells","CD4.T.cells","THBS1","CD36",4.76,4.55,4.655,6.14e-16,2.53e-14,6.76e-22,1.56e-19
"PLA-platelet.free","B.cells","B.cells","VCAN","TLR2",5.14,4.15,4.645,3.5e-26,3.96e-23,8.66e-20,7.54e-18
"PLA-platelet.free","B.cells","B.cells","ANXA1","DYSF",4.16,5.02,4.59,5.45e-27,1.64e-23,2.36e-18,1.41e-16
"PLA-platelet.free","CD4.T.cells","Monocytes","THBS1","ITGA2B",5.05,4.13,4.59,4.69e-24,1.64e-21,1.99e-29,1.74e-25
"PLA-platelet.free","CD4.T.cells","B.cells","S100A8","TLR4",5.1,4.06,4.58,1.58e-18,9.59e-17,3.5e-18,2.04e-16
"PLA-platelet.free","B.cells","B.cells","SIGLEC9","CD4",4.81,4.34,4.575,1.4e-16,6.22e-15,1.28e-13,3.45e-12
"PLA-platelet.free","CD4.T.cells","B.cells","S100A12","TLR4",5.08,4.06,4.57,5.24e-22,1.36e-19,3.5e-18,2.04e-16
"PLA-platelet.free","B.cells","B.cells","RETN","TLR4",5.05,4.06,4.555,2.88e-21,4.43e-19,3.5e-18,2.04e-16
"PLA-platelet.free","B.cells","CD4.T.cells","HP","ASGR1",4.93,4.16,4.545,8.63e-15,2.9e-13,3.7e-18,2.03e-16
"PLA-platelet.free","B.cells","B.cells","IGFBP7","MPIG6B",4.13,4.95,4.54,6.21e-13,1.47e-11,2.56e-21,4.14e-19
"PLA-platelet.free","CD4.T.cells","B.cells","S100A9","TLR4",5.02,4.06,4.54,1.09e-17,5.33e-16,3.5e-18,2.04e-16
"PLA-platelet.free","B.cells","CD4.T.cells","S100A9","CD68",5.62,3.45,4.535,2.81e-25,1.7e-22,6.16e-22,1.46e-19
"PLA-platelet.free","B.cells","B.cells","ANXA1","FPR1",4.16,4.88,4.52,5.45e-27,1.64e-23,6.88e-24,2.15e-21
"PLA-platelet.free","B.cells","CD4.T.cells","S100A8","CD68",5.58,3.45,4.515,6.43e-25,2.91e-22,6.16e-22,1.46e-19
"PLA-platelet.free","B.cells","B.cells","SIGLEC9","SIGLEC7",4.81,4.2,4.505,1.4e-16,6.22e-15,1.02e-10,1.52e-09
"PLA-platelet.free","B.cells","CD4.T.cells","IGFBP7","MPIG6B",4.13,4.87,4.5,6.21e-13,1.47e-11,1.7e-28,6.85e-25
"PLA-platelet.free","B.cells","B.cells","SIGLEC7","CD33",4.2,4.79,4.495,1.02e-10,1.52e-09,3.56e-18,2.06e-16
"PLA-platelet.free","B.cells","B.cells","HP","TLR4",4.93,4.06,4.495,8.63e-15,2.9e-13,3.5e-18,2.04e-16
"PLA-platelet.free","B.cells","B.cells","TYROBP","TREM1",4.85,4.1,4.475,1.19e-25,7.77e-23,9.33e-12,1.73e-10
"PLA-platelet.free","CD4.T.cells","B.cells","SERPINA1","LRP1",3.82,5.12,4.47,2.03e-21,4.03e-19,1.83e-24,6.92e-22
"PLA-platelet.free","B.cells","B.cells","TGFBI","ITGA5",4.66,4.23,4.445,8.08e-20,7.17e-18,5.64e-16,2.35e-14
"PLA-platelet.free","B.cells","Monocytes","THBS1","ITGA2B",4.76,4.13,4.445,6.14e-16,2.53e-14,1.99e-29,1.74e-25
"PLA-platelet.free","CD4.T.cells","B.cells","RETN","TLR4",4.78,4.06,4.42,1.36e-22,3.9e-20,3.5e-18,2.04e-16
"PLA-platelet.free","B.cells","B.cells","ANXA1","FPR2",4.16,4.67,4.415,5.45e-27,1.64e-23,2.06e-14,6.42e-13
"PLA-platelet.free","CD4.T.cells","B.cells","LILRB2","SIGLEC9",3.9,4.81,4.355,8.35e-19,5.47e-17,1.4e-16,6.22e-15
"PLA-platelet.free","CD4.T.cells","B.cells","LILRB2","CD33",3.9,4.79,4.345,8.35e-19,5.47e-17,3.56e-18,2.06e-16
"PLA-platelet.free","B.cells","B.cells","CD244","CSF3R",3.56,5.05,4.305,5.24e-09,5.72e-08,1.14e-20,1.38e-18
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","S100A8","CD68",5.1,3.45,4.275,1.58e-18,9.59e-17,6.16e-22,1.46e-19
"PLA-platelet.free","B.cells","B.cells","SIGLEC7","CD4",4.2,4.34,4.27,1.02e-10,1.52e-09,1.28e-13,3.45e-12
"PLA-platelet.free","CD4.T.cells","B.cells","VCAN","TLR2",4.38,4.15,4.265,2.3e-20,2.57e-18,8.66e-20,7.54e-18
"PLA-platelet.free","CD4.T.cells","Monocytes","THBS1","ITGB3",5.05,3.48,4.265,4.69e-24,1.64e-21,9.41e-24,1.65e-20
"PLA-platelet.free","Monocytes","B.cells","MPIG6B","OSCAR",3.74,4.78,4.26,5.21e-26,2.28e-22,7.54e-19,5.09e-17
"PLA-platelet.free","CD4.T.cells","B.cells","CD14","PLXND1",4.32,4.16,4.24,2.99e-21,5.6e-19,7.02e-13,1.65e-11
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","S100A9","CD68",5.02,3.45,4.235,1.09e-17,5.33e-16,6.16e-22,1.46e-19
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","THBS1","LRP1",5.05,3.4,4.225,4.69e-24,1.64e-21,4.19e-17,1.71e-15
"PLA-platelet.free","B.cells","CD4.T.cells","ANXA1","FPR1",4.16,4.24,4.2,5.45e-27,1.64e-23,2.6e-21,5e-19
"PLA-platelet.free","B.cells","CD4.T.cells","FCN1","LRP1",4.89,3.4,4.145,3.44e-25,1.84e-22,4.19e-17,1.71e-15
"PLA-platelet.free","B.cells","Monocytes","THBS1","ITGB3",4.76,3.48,4.12,6.14e-16,2.53e-14,9.41e-24,1.65e-20
"PLA-platelet.free","B.cells","B.cells","LILRB2","SIGLEC9",3.42,4.81,4.115,3.42e-18,2.01e-16,1.4e-16,6.22e-15
"PLA-platelet.free","B.cells","B.cells","LILRB2","CD33",3.42,4.79,4.105,3.42e-18,2.01e-16,3.56e-18,2.06e-16
"PLA-platelet.free","B.cells","CD4.T.cells","THBS1","LRP1",4.76,3.4,4.08,6.14e-16,2.53e-14,4.19e-17,1.71e-15
"PLA-platelet.free","B.cells","Monocytes","TGFBI","ITGB3",4.66,3.48,4.07,8.08e-20,7.17e-18,9.41e-24,1.65e-20
"PLA-platelet.free","CD4.T.cells","B.cells","TYROBP","TREM1",3.98,4.1,4.04,5.9e-22,1.44e-19,9.33e-12,1.73e-10
"PLA-platelet.free","B.cells","B.cells","S100A9","CD68",5.62,2.32,3.97,2.81e-25,1.7e-22,2.94e-14,8.96e-13
"PLA-platelet.free","B.cells","CD4.T.cells","SERPINA1","LRP1",4.51,3.4,3.955,1.3e-23,3.56e-21,4.19e-17,1.71e-15
"PLA-platelet.free","B.cells","B.cells","S100A8","CD68",5.58,2.32,3.95,6.43e-25,2.91e-22,2.94e-14,8.96e-13
"PLA-platelet.free","B.cells","Monocytes","IGFBP7","MPIG6B",4.13,3.74,3.935,6.21e-13,1.47e-11,5.21e-26,2.28e-22
"PLA-platelet.free","B.cells","Monocytes","NRG1","ITGB3",4.39,3.48,3.935,4.06e-11,6.58e-10,9.41e-24,1.65e-20
"PLA-platelet.free","CD4.T.cells","B.cells","CD9","CD36",2.88,4.82,3.85,2.59e-15,7.67e-14,2.7e-22,5.63e-20
"PLA-platelet.free","B.cells","CD4.T.cells","CD244","CSF3R",3.56,4.14,3.85,5.24e-09,5.72e-08,5.03e-20,5.13e-18
"PLA-platelet.free","B.cells","B.cells","HP","ITGAM",4.93,2.72,3.825,8.63e-15,2.9e-13,2.14e-16,9.4e-15
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","FCN1","LRP1",4.25,3.4,3.825,1.83e-21,3.77e-19,4.19e-17,1.71e-15
"PLA-platelet.free","B.cells","B.cells","PF4","LDLR",5.58,2.05,3.815,5.55e-23,1.36e-20,2.76e-06,1.85e-05
"PLA-platelet.free","B.cells","B.cells","PECAM1","ITGB3",2.16,5.37,3.765,6.44e-16,2.63e-14,1.22e-17,6.41e-16
