"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode"
"B cells","B cells",0,0,0,166,0.141649909299054,166,1,0.499999996987952,"heart","AUCell","gmm_dist_dual"
"DCs","DCs",0,17,0,1565,0.701597344608986,1737,0.90097869890616,0.494627054048908,"heart","AUCell","gmm_dist_dual"
"NK cells","NK cells",0,1,0,124,-1.02948684760042,660,0.187878787878788,0.495999996032,"heart","AUCell","gmm_dist_dual"
"Unassigned","Unassigned",0,0,0,0,-0.356987076492065,3847,0,0,"heart","AUCell","gmm_dist_dual"
"CD4 T cells","CD4 T cells",0,0,2,58,0.0865321104767061,60,0.966666666666667,0.499999991379311,"heart","AUCell","gmm_dist_dual"
"Macrophages","Macrophages",0,2,174,2615,0.190695013041064,2791,0.936940164815478,0.499617882881308,"heart","AUCell","gmm_dist_dual"
"Neutrophils","Neutrophils",0,8,44,1571,0.117767646009272,2465,0.637322515212982,0.497466750793245,"heart","AUCell","gmm_dist_dual"
"CD8 T cells","CD8 T cells",0,0,0,13,-1.20157753441237,13,1,0.499999961538465,"heart","AUCell","gmm_dist_dual"
NA,NA,0,0,0,0,-0.748158669952274,2,0,0,"heart","AUCell","gmm_dist_dual"
