"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode"
"B cells","B cells",10,69,99,913,2.54480207867122,1093,0.844464775846295,0.510739175846742,"our_data","AUCell","gmm_dist_dual"
"CD4 T cells","CD4 T cells",16,7,554,4045,-0.601601591892183,4636,0.875970664365833,0.513171316594197,"our_data","AUCell","gmm_dist_dual"
"CD8 T cells","CD8 T cells",1,1,112,2118,-0.76970192978899,2238,0.946827524575514,0.504188818127396,"our_data","AUCell","gmm_dist_dual"
"DCs","DCs",0,26,0,36,0.951683350253673,74,0.486486486486487,0.290322575962539,"our_data","AUCell","gmm_dist_dual"
"NK cells","NK cells",2,1,33,451,-0.751330658217369,584,0.775684931506849,0.527465231961089,"our_data","AUCell","gmm_dist_dual"
"Unassigned","Unassigned",0,0,0,0,0.26784533835614,12103,0,0,"our_data","AUCell","gmm_dist_dual"
"Monocytes","Monocytes",142,1277,492,8103,-0.193832938103313,10014,0.823347313760735,0.543917019007438,"our_data","AUCell","gmm_dist_dual"
"Neutrophils","Neutrophils",15,29,64,687,0.179809342822783,7340,0.0956403269754768,0.574685310340944,"our_data","AUCell","gmm_dist_dual"
NA,NA,0,0,0,0,-0.0615551769934609,8480,0,0,"our_data","AUCell","gmm_dist_dual"
