"celltype_clean","FN","FP","TN","TP","Recall","Precision","FPR","FNR","F2","N_total","N_PLA_GT"
"CD4 T cells",276,261,38712,2,0.007,0.008,0.007,0.993,0.007,39251,278
"CD8 T cells",193,1378,20696,21,0.098,0.015,0.062,0.902,0.047,22288,214
"B cells",82,96,10105,14,0.146,0.127,0.009,0.854,0.142,10297,96
"NK cells",47,3692,4626,37,0.44,0.01,0.444,0.56,0.046,8402,84
"PLA neutrohils",1,0,0,20,0.952,1,0,0.048,0.961,21,21
"Monocytes",47,31493,1708,1548,0.971,0.047,0.949,0.029,0.197,34796,1595
"DCs",1,2396,230,43,0.977,0.018,0.912,0.023,0.084,2670,44
"Neutrophils",0,2145,886,0,0,0,0.708,0,0,3031,0
