"celltype_clean","FN","FP","TN","TP","Recall","Precision","FPR","FNR","F2","N_total","N_PLA_GT"
"CD4 T cells",5171,459,44590,509,0.09,0.526,0.01,0.91,0.108,50729,5680
"CD8 T cells",6726,1518,17882,778,0.104,0.339,0.078,0.896,0.121,26904,7504
"B cells",304,213,20575,184,0.377,0.463,0.01,0.623,0.392,21276,488
"NK cells",1002,4060,4671,1441,0.59,0.262,0.465,0.41,0.472,11174,2443
"Monocytes",3574,2971,508,17418,0.83,0.854,0.854,0.17,0.835,24471,20992
"DCs",378,406,66,1920,0.836,0.825,0.86,0.164,0.834,2770,2298
