"group_id","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_q95","pla_q25","platelet_free_above_pla_q25"
"DBO-09","CD41",109,44,2.11520911085161,1.38347313139901,0.731735979452607,2.08018391840388,1.93624768133768,0.113636363636364
"DBO-06","CD41",1,44,1.53104727260556,0.373545715296602,1.15750155730895,0.947560119518005,1.53104727260556,0
"DBO-10","CD41",23,124,2.44686149514392,0.923082031822593,1.52377946332132,1.34531634774705,2.16042420958004,0
"DBO-01-4","CD41",187,1253,2.3128153166163,0.757150770437264,1.55566454617904,1.51126052504407,1.83672900692744,0.014365522745411
"DBO-01-3","CD41",107,1098,2.52959021950431,0.713742168205297,1.81584805129901,1.32509680804461,1.82582591074993,0.00819672131147541
"DBO-01-1","CD41",20,182,2.83615865032001,0.620827135548024,2.21533151477198,1.72540265464651,2.27626246336962,0
"DBO-04","CD41",80,2075,2.77585806787511,0.462941296418249,2.31291677145686,1.15493260375989,1.94916512982088,0.000481927710843373
"DBO-01-2","CD41",39,786,2.80813491236778,0.491047993244657,2.31708691912313,1.32509680804461,2.10949071755108,0
"DBO-02-7","CD41",11,557,2.54035918234251,0.127392797383399,2.41296638495911,1.03691689031753,2.39208091106498,0
"DBO-03","CD41",279,7716,3.06243084133212,0.544996977156978,2.51743386417515,1.22384836950779,2.41496381639486,0
"DBO-05","CD41",127,2677,3.0895961446707,0.544996977156978,2.54459916751372,1.31298734467519,2.16307559564073,0
"DBO-02-5","CD41",8,375,2.83633175669917,0.127392797383399,2.70893895931577,0.989225684809227,2.28003818247875,0
"DBO-02-6","CD41",0,119,NA,0.0867054433300632,NA,0.312445901112515,NA,NA
"DBO-06","CD42b",1,44,0,0.450380969937381,-0.450380969937381,1.15789720300433,0,1
"DBO-01-1","CD42b",20,182,0.450380969937381,0.450380969937381,0,0.995741019424097,0,1
"DBO-01-4","CD42b",187,1253,0.759786411576869,0.450380969937381,0.309405441639487,0.995741019424097,0.450380969937381,0.510774142059058
"DBO-02-5","CD42b",8,375,0.759786411576869,0.450380969937381,0.309405441639487,1.18651300010672,0.682435051166997,0.261333333333333
"DBO-04","CD42b",80,2075,0.759786411576869,0.450380969937381,0.309405441639487,0.995741019424097,0.450380969937381,0.529638554216867
"DBO-10","CD42b",23,124,0.759786411576869,0.450380969937381,0.309405441639487,0.960347828247011,0.450380969937381,0.564516129032258
"DBO-09","CD42b",109,44,0.450380969937381,0,0.450380969937381,0.960347828247013,0,1
"DBO-01-3","CD42b",107,1098,0.995741019424097,0.450380969937381,0.545360049486715,1.18651300010672,0.605083690757125,0.356102003642987
"DBO-05","CD42b",127,2677,0.759786411576869,0,0.759786411576869,0.995741019424097,0.450380969937381,0.46843481509152
"DBO-01-2","CD42b",39,786,0.995741019424097,0,0.995741019424097,0.759786411576869,0.450380969937381,0.381679389312977
"DBO-03","CD42b",279,7716,0.995741019424097,0,0.995741019424097,0.759786411576869,0.450380969937381,0.328538102643857
"DBO-02-7","CD42b",11,557,1.18651300010672,0,1.18651300010672,0.759786411576869,0.877763715500482,0.0466786355475763
"DBO-02-6","CD42b",0,119,NA,0.759786411576869,NA,1.36045651255384,NA,NA
"DBO-09","CD62P",109,44,0.901566183991713,0.740790849792431,0.160775334199283,1.16164576546836,0.549120423885715,0.659090909090909
"DBO-05","CD62P",127,2677,0.549120423885715,0.311787620138215,0.2373328037475,0.740790849792431,0.311787620138215,0.52969742248786
"DBO-01-1","CD62P",20,182,1.04003742524179,0.311787620138215,0.728249805103579,0.893527417281747,0.549120423885715,0.208791208791209
"DBO-04","CD62P",80,2075,1.10084159535508,0.311787620138215,0.789053975216861,0.901566183991713,0.549120423885715,0.287228915662651
"DBO-10","CD62P",23,124,1.36785454815949,0.549120423885715,0.818734124273776,1.36785454815949,0.901566183991713,0.282258064516129
"DBO-01-4","CD62P",187,1253,1.16164576546836,0.311787620138215,0.849858145330143,1.16164576546836,0.821178516892072,0.156424581005587
"DBO-06","CD62P",1,44,1.45693482610708,0.311787620138215,1.14514720596886,1.14340451443437,1.45693482610708,0.0227272727272727
"DBO-01-3","CD62P",107,1098,2.2422919838229,0.740790849792431,1.50150113403047,1.45693482610708,1.61432801258502,0.0327868852459016
"DBO-02-7","CD62P",11,557,2.38677399293643,0.549120423885715,1.83765356905071,1.97681310460209,2.2392625906456,0.0269299820466786
"DBO-03","CD62P",279,7716,2.16138507801198,0.311787620138215,1.84959745787377,0.901566183991713,1.27005602386003,0.00738724727838258
"DBO-01-2","CD62P",39,786,2.20265654876804,0.311787620138215,1.89086892862982,1.27005602386003,1.68461494857052,0.0114503816793893
"DBO-02-5","CD62P",8,375,2.40994470718401,0.311787620138215,2.09815708704579,1.45693482610708,1.70089302311833,0.0426666666666667
"DBO-02-6","CD62P",0,119,NA,0.740790849792431,NA,1.45693482610708,NA,NA
