"celltype_clean","FN","FP","TN","TP","Recall","Precision","FPR","FNR","F2","N_total","N_PLA_GT"
"B cells",630,38,6735,6,0.009,0.136,0.006,0.991,0.011,7409,636
"CD4 T cells",348,122,17598,11,0.031,0.083,0.007,0.969,0.035,18079,359
"CD8 T cells",155,208,5958,6,0.037,0.028,0.034,0.963,0.035,6327,161
"NK cells",26,2416,2132,52,0.667,0.021,0.531,0.333,0.093,4626,78
"Monocytes",101,8777,2649,487,0.828,0.053,0.768,0.172,0.211,12014,588
"Neutrophils",8,180,59,65,0.89,0.265,0.753,0.11,0.605,312,73
"DCs",0,129,30,0,0,0,0.811,0,0,159,0
