"celltype_clean","FN","FP","TN","TP","Recall","Precision","FPR","FNR","F2","N_total","N_PLA_GT"
"CD8 T cells",109,80,2039,4,0.035,0.048,0.038,0.965,0.037,2232,113
"B cells",105,21,961,4,0.037,0.16,0.021,0.963,0.044,1091,109
"CD4 T cells",540,93,3959,30,0.053,0.244,0.023,0.947,0.063,4622,570
"NK cells",27,61,391,8,0.229,0.116,0.135,0.771,0.192,487,35
"Neutrophils",37,297,419,42,0.532,0.124,0.415,0.468,0.321,795,79
"Monocytes",261,5379,4001,373,0.588,0.065,0.573,0.412,0.225,10014,634
"DCs",0,27,35,0,0,0,0.435,0,0,62,0
