"CCI","ER_CELLTYPES","LRI","NCELLS_EMITTER_platelet-free","NCELLS_EMITTER_PLA","NCELLS_RECEIVER_platelet-free","NCELLS_RECEIVER_PLA","CCI_SCORE_platelet-free","CCI_SCORE_PLA","P_VALUE_platelet-free","BH_P_VALUE_platelet-free","P_VALUE_PLA","BH_P_VALUE_PLA","LOGFC","P_VALUE_DE","BH_P_VALUE_DE","IS_CCI_DETECTED_platelet-free","IS_CCI_DETECTED_PLA","REGULATION","neg_log10_padj"
"B cells_B cells_ADAM10:NOTCH2","B cells_B cells","ADAM10:NOTCH2",20788,488,20788,488,0.73090135290033,0.948662945079963,0,0,0.725,1,0.260775064517694,0,0,TRUE,FALSE,"FLAT",307.652655568589
"B cells_B cells_ADAM15:ITGB3","B cells_B cells","ADAM15:ITGB3",20788,488,20788,488,0.0488025484183449,0.708883052569693,1,1,0,0,2.67590803273358,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_ADAM28:ITGA4","B cells_B cells","ADAM28:ITGA4",20788,488,20788,488,1.67850965136322,1.03009030647852,0,0,0,0,-0.488259812823459,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_APP:APLP2","B cells_B cells","APP:APLP2",20788,488,20788,488,0.58018593474745,1.64701024959373,0,0,0,0,1.04336832403079,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_APP:CD74","B cells_B cells","APP:CD74",20788,488,20788,488,9.5311403691248,10.7229235089201,0,0,0,0,0.117819462361141,0.086,0.105694076038904,TRUE,TRUE,"FLAT",0.975949353427793
"B cells_B cells_APP:LRP1","B cells_B cells","APP:LRP1",20788,488,20788,488,0.131436276777432,1.30682635116529,1,1,0.001,0.00193216569363358,2.29683469725051,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_APP:LRP10","B cells_B cells","APP:LRP10",20788,488,20788,488,0.589861356579424,0.934609625984716,0,0,0,0,0.460241409353216,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_APP:NOTCH2","B cells_B cells","APP:NOTCH2",20788,488,20788,488,0.560296732650514,1.02699632607852,0,0,0,0,0.605927109463123,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_APP:RPSA","B cells_B cells","APP:RPSA",20788,488,20788,488,2.84296098309123,3.4982989315337,0,0,0,0,0.20743072206422,0.002,0.00288381742738589,TRUE,TRUE,"FLAT",2.54003223798475
"B cells_B cells_BTLA:CD79A","B cells_B cells","BTLA:CD79A",20788,488,20788,488,4.46766871869371,1.8903770759209,0,0,0,0,-0.860090412893232,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_BTLA:TNFRSF14","B cells_B cells","BTLA:TNFRSF14",20788,488,20788,488,1.29132595381067,0.739584444315563,0,0,0,0,-0.557336373901275,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_CALR:ITGA2B","B cells_B cells","CALR:ITGA2B",20788,488,20788,488,0.270019843905462,2.3822120014291,1,1,0,0,2.17728929515061,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_CD24:SIGLEC10","B cells_B cells","CD24:SIGLEC10",20788,488,20788,488,0.93975876911407,0.589661972692758,0,0,0,0,-0.466073768652625,0,0,TRUE,FALSE,"DOWN",307.652655568589
"B cells_B cells_CD55:CR1","B cells_B cells","CD55:CR1",20788,488,20788,488,0.788982320744646,0.935067084688021,0,0,0.009,0.016796455424275,0.169874361617252,0.028,0.036435124508519,TRUE,TRUE,"FLAT",1.4384797420368
"B cells_B cells_CD72:SEMA4D","B cells_B cells","CD72:SEMA4D",20788,488,20788,488,0.759785225215289,0.86508710142715,0,0,0,0,0.129794402212964,0.153,0.180626804824189,FALSE,TRUE,"FLAT",0.743217800404456
"B cells_B cells_COPA:CD74","B cells_B cells","COPA:CD74",20788,488,20788,488,10.4461121671861,8.42634533366703,0,0,0,0,-0.214866720756968,0.002,0.00288381742738589,TRUE,TRUE,"FLAT",2.54003223798475
"B cells_B cells_ESAM:ESAM","B cells_B cells","ESAM:ESAM",20788,488,20788,488,0.0592494554865956,0.805276034253484,0.33,0.529554375432925,0,0,2.60942852846231,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_F13A1:ITGA4","B cells_B cells","F13A1:ITGA4",20788,488,20788,488,0.333324979295314,2.21617545917442,1,1,0,0,1.89442029517463,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_F13A1:ITGB1","B cells_B cells","F13A1:ITGB1",20788,488,20788,488,0.265704993509248,2.5076510083437,1,1,0,0,2.24471509431592,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_FAM3C:CLEC2D","B cells_B cells","FAM3C:CLEC2D",20788,488,20788,488,0.982308664586593,0.531499017340005,0,0,0,0,-0.614204232417733,0,0,TRUE,FALSE,"DOWN",307.652655568589
"B cells_B cells_FAM3C:HLA-C","B cells_B cells","FAM3C:HLA-C",20788,488,20788,488,4.00227454027866,2.96096878130892,0,0,0,0,-0.301346328807193,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_B cells_FAM3C:LAMP1","B cells_B cells","FAM3C:LAMP1",20788,488,20788,488,0.795342470961062,0.604582438116737,0,0,0,0,-0.274234768165336,0,0,TRUE,FALSE,"FLAT",307.652655568589
"B cells_B cells_FCER2:CR2","B cells_B cells","FCER2:CR2",20788,488,20788,488,1.1857040078157,0.566621628988552,0,0,0,0,-0.73840021662243,0,0,TRUE,FALSE,"DOWN",307.652655568589
"B cells_B cells_GPI:AMFR","B cells_B cells","GPI:AMFR",20788,488,20788,488,0.789879769117203,0.744550634999542,0,0,0.004,0.00757699645680022,-0.0590998809885805,0.379,0.418368805590851,TRUE,TRUE,"FLAT",0.378440704792822
"B cells_B cells_HLA-DMA:CD4","B cells_B cells","HLA-DMA:CD4",20788,488,20788,488,0.277302378726714,1.20896360465333,1,1,0.003,0.00570763755817137,1.47241021572813,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_HLA-DMB:CD4","B cells_B cells","HLA-DMB:CD4",20788,488,20788,488,0.187589684663984,0.849538814420701,1,1,0.001,0.00193216569363358,1.51043658170885,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_HLA-DQA1:CD4","B cells_B cells","HLA-DQA1:CD4",20788,488,20788,488,0.34097122092306,1.44452789633288,1,1,0,0,1.44373975422098,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_HLA-DQB1:CD4","B cells_B cells","HLA-DQB1:CD4",20788,488,20788,488,0.399393813263773,1.6411057210936,1,1,0,0,1.41317758302689,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_HLA-DRA:CD4","B cells_B cells","HLA-DRA:CD4",20788,488,20788,488,0.81088707971057,3.40509183378921,1,1,0,0,1.43489837994315,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_HLA-DRB5:CD4","B cells_B cells","HLA-DRB5:CD4",20788,488,20788,488,0.424475982660296,1.90864400829643,1,1,0.011,0.0204521134296415,1.50329289941031,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_HMGB1:CXCR4","B cells_B cells","HMGB1:CXCR4",20788,488,20788,488,5.40608599119205,3.49170461823663,0,0,0,0,-0.437135308082811,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_ITGAX_ITGB2:FCER2_ITGB2","B cells_B cells","ITGAX_ITGB2:FCER2_ITGB2",20788,488,20788,488,0.434970693207701,1.0890678020346,0.388,0.6211932734393,0,0,0.917798724933553,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_ITGB2_ITGAM:FCER2_ITGB2","B cells_B cells","ITGB2_ITGAM:FCER2_ITGB2",20788,488,20788,488,0.442395650960207,1.36282170211238,1,1,0,0,1.12510799070985,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_LTB:CD40","B cells_B cells","LTB:CD40",20788,488,20788,488,6.36564442978931,2.84130359863318,0,0,0,0,-0.806652512265308,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_LY86:CD180","B cells_B cells","LY86:CD180",20788,488,20788,488,1.40382084928986,0.800575258604205,0,0,0,0,-0.561622433709381,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_MIF:CD74","B cells_B cells","MIF:CD74",20788,488,20788,488,35.272738544126,22.7827973875503,0,0,0,0,-0.437104635739249,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_MIF:CD74_CXCR4","B cells_B cells","MIF:CD74_CXCR4",20788,488,20788,488,5.28686852121924,3.38443235038714,0,0,0,0,-0.446039911929481,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_MIF:CXCR4","B cells_B cells","MIF:CXCR4",20788,488,20788,488,5.28686852121924,3.38443235038714,0,0,0,0,-0.446039911929481,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_MYL9:CD69","B cells_B cells","MYL9:CD69",20788,488,20788,488,0.321602712129547,1.47123090932225,1,1,0,0,1.52053771216065,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_PECAM1:CD38","B cells_B cells","PECAM1:CD38",20788,488,20788,488,0.318877163332691,0.800583283184642,1,1,0.001,0.00193216569363358,0.920534605276993,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_PF4:LRP1","B cells_B cells","PF4:LRP1",20788,488,20788,488,0.056842790836599,3.23252537189862,1,1,0,0,4.04072955772377,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_PTPRC:CD22","B cells_B cells","PTPRC:CD22",20788,488,20788,488,3.09956419153811,2.13491311079909,0,0,0,0,-0.372835569899098,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_B cells_RPS27A:TGFBR2","B cells_B cells","RPS27A:TGFBR2",20788,488,20788,488,8.19635124720504,5.61759137047162,0,0,0.917,1,-0.377786095117132,0,0,TRUE,FALSE,"FLAT",307.652655568589
"B cells_B cells_SIGLEC10:CD52","B cells_B cells","SIGLEC10:CD52",20788,488,20788,488,2.61211301656066,1.90888069122819,0,0,0.076,0.134436243318911,-0.313642433943182,0,0,TRUE,FALSE,"FLAT",307.652655568589
"B cells_B cells_ST6GAL1:CD22","B cells_B cells","ST6GAL1:CD22",20788,488,20788,488,1.24540732998011,0.720721508555157,0,0,0,0,-0.546965122600921,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_B cells_SYK:FCGR2A","B cells_B cells","SYK:FCGR2A",20788,488,20788,488,0.308000263601735,1.42502668848164,1,1,0.002,0.00382814651611126,1.53184518246342,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_TGFB1:CXCR4","B cells_B cells","TGFB1:CXCR4",20788,488,20788,488,3.53483191874401,3.59208953150266,0,0,0,0,0.016068324901126,0.679,0.7139258698941,TRUE,TRUE,"FLAT",0.146346880615025
"B cells_B cells_TGFB1:ITGB3","B cells_B cells","TGFB1:ITGB3",20788,488,20788,488,0.232870618410949,2.88331257987263,1,1,0,0,2.51621209995234,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_THBS1:CD36","B cells_B cells","THBS1:CD36",20788,488,20788,488,0.0310344192899274,1.24084285252265,1,1,0,0,3.68844925923715,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_THBS1:CD47","B cells_B cells","THBS1:CD47",20788,488,20788,488,0.17167248680548,1.07436416062285,1,1,0,0,1.83389577193683,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_THBS1:ITGA2B_ITGB3","B cells_B cells","THBS1:ITGA2B_ITGB3",20788,488,20788,488,0.0195224601304123,1.22553885082086,1,1,0,0,4.13957030016708,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_THBS1:ITGA4","B cells_B cells","THBS1:ITGA4",20788,488,20788,488,0.172450858414816,1.18161943608133,1,1,0,0,1.92452886290252,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_THBS1:LRP1","B cells_B cells","THBS1:LRP1",20788,488,20788,488,0.0272646337258729,1.25258842669879,1,1,0.001,0.00193216569363358,3.82737703619546,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_THBS1:PTPRJ","B cells_B cells","THBS1:PTPRJ",20788,488,20788,488,0.0657724164409236,0.774470846553818,1,1,0.001,0.00193216569363358,2.46597947009798,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_TNFSF13B:CD40","B cells_B cells","TNFSF13B:CD40",20788,488,20788,488,0.348244324905021,0.981943392389142,0.48,0.76601607347876,0,0,1.03662934497815,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_TNFSF13B:HLA-DPB1","B cells_B cells","TNFSF13B:HLA-DPB1",20788,488,20788,488,1.10097613188129,3.25127545398962,1,1,0,0,1.08285018781211,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_B cells_TNFSF13B:TNFRSF13C","B cells_B cells","TNFSF13B:TNFRSF13C",20788,488,20788,488,0.286437520497043,0.905363504801035,0.016,0.0262946323007803,0,0,1.15081609199075,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_ADAM15:ITGB1","B cells_CD4 T cells","ADAM15:ITGB1",20788,488,45049,5680,0.51844405965186,1.12706231586568,1,1,0,0,0.776537673053176,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_ADAM17:ITGB1","B cells_CD4 T cells","ADAM17:ITGB1",20788,488,45049,5680,0.814836331033337,1.23070114925385,0,0,0,0,0.412352053743462,0,0,TRUE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_ADAM28:ITGA4","B cells_CD4 T cells","ADAM28:ITGA4",20788,488,45049,5680,1.71048046646704,1.19436172802771,0,0,0,0,-0.359162381704795,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_APP:LRP10","B cells_CD4 T cells","APP:LRP10",20788,488,45049,5680,0.629510032958247,1.02817298286007,0,0,0,0,0.490596911786619,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_APP:PTGER2","B cells_CD4 T cells","APP:PTGER2",20788,488,45049,5680,0.641637514241005,1.05107597558021,0,0,0,0,0.493546132443145,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_APP:RPSA","B cells_CD4 T cells","APP:RPSA",20788,488,45049,5680,2.98773647940655,4.34239058250526,0,0,0,0,0.37390895151405,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_APP:SORL1","B cells_CD4 T cells","APP:SORL1",20788,488,45049,5680,0.564495905428567,0.894503638845816,0,0,0.005,0.00942245119305857,0.460335840847308,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_B2M:CD247","B cells_CD4 T cells","B2M:CD247",20788,488,45049,5680,13.5704068030666,14.3647615358357,1,1,0,0,0.0568866404181241,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_B2M:CD3D","B cells_CD4 T cells","B2M:CD3D",20788,488,45049,5680,22.0651728296618,22.9099974291138,1,1,0,0,0.037572908806295,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_B2M:CD3G","B cells_CD4 T cells","B2M:CD3G",20788,488,45049,5680,15.9970416675778,16.8129520858608,1,1,0,0,0.0497457374977971,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_BTLA:CD247","B cells_CD4 T cells","BTLA:CD247",20788,488,45049,5680,1.56478388344196,1.06149453252813,0,0,0,0,-0.388069869364688,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_BTLA:TNFRSF14","B cells_CD4 T cells","BTLA:TNFRSF14",20788,488,45049,5680,1.30007430275261,0.852782756669747,0,0,0,0,-0.421671864237605,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_CD4 T cells_CALR:HLA-F","B cells_CD4 T cells","CALR:HLA-F",20788,488,45049,5680,2.46320486271062,2.56004592820356,1,1,0.001,0.00193216569363358,0.0385619072652082,0.253,0.287876555337263,FALSE,TRUE,"FLAT",0.540793702618452
"B cells_CD4 T cells_CD14:ITGB1","B cells_CD4 T cells","CD14:ITGB1",20788,488,45049,5680,0.526866574080647,4.1153052594297,1,1,0,0,2.055520956108,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_CD48:CD2","B cells_CD4 T cells","CD48:CD2",20788,488,45049,5680,2.35120513611347,2.92658330544485,1,1,0,0,0.218907614655153,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_CD55:ADGRE5","B cells_CD4 T cells","CD55:ADGRE5",20788,488,45049,5680,1.43525084923838,1.55997377829411,0,0,0.99,1,0.083329370568246,0.025,0.0326843491346877,TRUE,FALSE,"FLAT",1.48566015900854
"B cells_CD4 T cells_CD58:CD2","B cells_CD4 T cells","CD58:CD2",20788,488,45049,5680,0.756242440910232,0.906114153793751,1,1,0.01,0.0186377044784124,0.180803281866305,0.034,0.0438241839762611,FALSE,TRUE,"FLAT",1.35828616189489
"B cells_CD4 T cells_CD72:CD5","B cells_CD4 T cells","CD72:CD5",20788,488,45049,5680,1.81184013581089,1.30719349377529,0,0,0,0,-0.32646051056965,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_CD72:SEMA4D","B cells_CD4 T cells","CD72:SEMA4D",20788,488,45049,5680,1.40199413333741,1.06232297216396,0,0,0,0,-0.277437610607433,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_CD99:CD81","B cells_CD4 T cells","CD99:CD81",20788,488,45049,5680,2.10712220730489,3.70084807088469,1,1,0,0,0.563238867973779,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_CD99:CD99","B cells_CD4 T cells","CD99:CD99",20788,488,45049,5680,2.84008426512754,5.7524268376873,1,1,0,0,0.705788101943253,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_DUSP18:ITGB1","B cells_CD4 T cells","DUSP18:ITGB1",20788,488,45049,5680,0.464939678239219,0.938467677848534,0.992,1,0,0,0.702340742252453,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_DUSP18:RPSA","B cells_CD4 T cells","DUSP18:RPSA",20788,488,45049,5680,1.38940665166648,2.00464879119347,0.048,0.0783098591549296,0,0,0.366592092224774,0.001,0.00147183396865735,FALSE,TRUE,"FLAT",2.83214117815259
"B cells_CD4 T cells_F13A1:ITGA4","B cells_CD4 T cells","F13A1:ITGA4",20788,488,45049,5680,0.339673868188434,2.56959524265494,1,1,0,0,2.0235177262933,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_F13A1:ITGB1","B cells_CD4 T cells","F13A1:ITGB1",20788,488,45049,5680,0.400863437693924,3.65449131605535,1,1,0,0,2.21009137275879,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_FAM3C:CLEC2D","B cells_CD4 T cells","FAM3C:CLEC2D",20788,488,45049,5680,0.951769271012015,0.706855854582212,0,0,0,0,-0.297495881118428,0,0,TRUE,FALSE,"FLAT",307.652655568589
"B cells_CD4 T cells_FAM3C:HLA-C","B cells_CD4 T cells","FAM3C:HLA-C",20788,488,45049,5680,4.73652762089542,3.91016682100514,0,0,0,0,-0.191724259509691,0.001,0.00147183396865735,TRUE,TRUE,"FLAT",2.83214117815259
"B cells_CD4 T cells_FAM3C:LAMP1","B cells_CD4 T cells","FAM3C:LAMP1",20788,488,45049,5680,0.916265831183293,0.711240643546755,0,0,0,0,-0.253295700876148,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-A:CD3D","B cells_CD4 T cells","HLA-A:CD3D",20788,488,45049,5680,9.71574371380575,10.4252885744958,1,1,0,0,0.0704868152639724,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-A:CD3G","B cells_CD4 T cells","HLA-A:CD3G",20788,488,45049,5680,7.04382232675401,7.65080300976056,1,1,0,0,0.0826596439554746,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-B:CD3D","B cells_CD4 T cells","HLA-B:CD3D",20788,488,45049,5680,16.3507184238672,16.4017486161566,0,0,0,0,0.00311611540710385,0.792,0.818254794113275,TRUE,TRUE,"FLAT",0.0871114415031948
"B cells_CD4 T cells_HLA-B:CD3G","B cells_CD4 T cells","HLA-B:CD3G",20788,488,45049,5680,11.8541162555419,12.0367457247,0,0,0,0,0.0152889440986059,0.243,0.27763439092553,TRUE,TRUE,"FLAT",0.556526738274497
"B cells_CD4 T cells_HLA-C:CD3D","B cells_CD4 T cells","HLA-C:CD3D",20788,488,45049,5680,11.0277036291419,11.5361251758958,1,1,0,0,0.0450728129735119,0.004,0.00562753036437247,FALSE,TRUE,"FLAT",2.24968215300557
"B cells_CD4 T cells_HLA-C:CD3G","B cells_CD4 T cells","HLA-C:CD3G",20788,488,45049,5680,7.99498086033285,8.46601229174961,1,1,0,0,0.0572456416650141,0.001,0.00147183396865735,FALSE,TRUE,"FLAT",2.83214117815259
"B cells_CD4 T cells_HLA-DMA:CD4","B cells_CD4 T cells","HLA-DMA:CD4",20788,488,45049,5680,2.68336697595412,1.98194854505119,0,0,0,0,-0.302991865860146,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DMB:CD4","B cells_CD4 T cells","HLA-DMB:CD4",20788,488,45049,5680,1.81524575147284,1.39271538921839,0,0,0,0,-0.264965499879418,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DOA:CD4","B cells_CD4 T cells","HLA-DOA:CD4",20788,488,45049,5680,1.01320626329845,0.673225153896756,0,0,0,0,-0.408795273518455,0,0,TRUE,FALSE,"DOWN",307.652655568589
"B cells_CD4 T cells_HLA-DOB:CD4","B cells_CD4 T cells","HLA-DOB:CD4",20788,488,45049,5680,1.28051949629079,0.827429099515081,0,0,0,0,-0.436697707817246,0,0,TRUE,TRUE,"DOWN",307.652655568589
"B cells_CD4 T cells_HLA-DPA1:LAG3","B cells_CD4 T cells","HLA-DPA1:LAG3",20788,488,45049,5680,1.85842146449002,2.24265161200096,0,0,0,0,0.187931468747348,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DPB1:LAG3","B cells_CD4 T cells","HLA-DPB1:LAG3",20788,488,45049,5680,1.75029807182869,2.07609335054634,0,0,0,0,0.17070183064644,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DQA1:CD4","B cells_CD4 T cells","HLA-DQA1:CD4",20788,488,45049,5680,3.2994701241903,2.36812750309699,0,0,0,0,-0.331662327367296,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DQA1:LAG3","B cells_CD4 T cells","HLA-DQA1:LAG3",20788,488,45049,5680,1.19633467086645,1.42047775235902,0,0,0,0,0.171730818827527,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DQB1:CD4","B cells_CD4 T cells","HLA-DQB1:CD4",20788,488,45049,5680,3.86480698013987,2.69039289824555,0,0,0,0,-0.362224498561381,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DQB1:LAG3","B cells_CD4 T cells","HLA-DQB1:LAG3",20788,488,45049,5680,1.40131670011185,1.6137827258307,0,0,0,0,0.141168647633442,0.003,0.00426642111724985,FALSE,TRUE,"FLAT",2.3699362797184
"B cells_CD4 T cells_HLA-DRA:CD4","B cells_CD4 T cells","HLA-DRA:CD4",20788,488,45049,5680,7.84669652281494,5.58223322833562,0,0,0,0,-0.340503701645125,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DRA:LAG3","B cells_CD4 T cells","HLA-DRA:LAG3",20788,488,45049,5680,2.8450856497191,3.34839999069309,0,0,0,0,0.162889444549698,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DRB1:LAG3","B cells_CD4 T cells","HLA-DRB1:LAG3",20788,488,45049,5680,1.92740001750683,2.41770385205141,0,0,0,0,0.226646314768034,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DRB5:CD4","B cells_CD4 T cells","HLA-DRB5:CD4",20788,488,45049,5680,4.10751916080331,3.12898932664603,0,0,0,0,-0.272109182177959,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HLA-DRB5:LAG3","B cells_CD4 T cells","HLA-DRB5:LAG3",20788,488,45049,5680,1.4893202236596,1.87686673122832,0,0,0,0,0.231283964016865,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_HMGB1:CXCR4","B cells_CD4 T cells","HMGB1:CXCR4",20788,488,45049,5680,3.63955459825488,3.08752374766579,1,1,0,0,-0.164491917568692,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_IL16:CD4","B cells_CD4 T cells","IL16:CD4",20788,488,45049,5680,1.48316563242296,1.14530998052573,0,0,0,0,-0.258503418608443,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_IL16:KCNA3","B cells_CD4 T cells","IL16:KCNA3",20788,488,45049,5680,1.11861158955494,0.799438938099694,0,0,0,0,-0.335933388854227,0,0,TRUE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_ITGB2:CD226","B cells_CD4 T cells","ITGB2:CD226",20788,488,45049,5680,0.705137411380752,1.80403536287152,1,1,0,0,0.939388609329355,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_LGALS1:CD69","B cells_CD4 T cells","LGALS1:CD69",20788,488,45049,5680,1.86208101799776,4.378161929222,1,1,0,0,0.85493429626245,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_LGALS1:ITGB1","B cells_CD4 T cells","LGALS1:ITGB1",20788,488,45049,5680,2.04450610261398,6.92023181988564,1,1,0,0,1.21929302334072,0,0,FALSE,TRUE,"UP",307.652655568589
"B cells_CD4 T cells_LGALS9:CD44","B cells_CD4 T cells","LGALS9:CD44",20788,488,45049,5680,1.13109629455916,1.64297608077151,0,0,1,1,0.373321946097077,0,0,TRUE,FALSE,"FLAT",307.652655568589
"B cells_CD4 T cells_LGALS9:CD47","B cells_CD4 T cells","LGALS9:CD47",20788,488,45049,5680,0.96581757234868,1.43543527479598,0.865,1,0,0,0.396248441705168,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_MIF:CD74_CXCR4","B cells_CD4 T cells","MIF:CD74_CXCR4",20788,488,45049,5680,3.55929348296023,2.99266873824677,1,1,0,0,-0.173396521415362,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_MIF:CXCR4","B cells_CD4 T cells","MIF:CXCR4",20788,488,45049,5680,3.55929348296023,2.99266873824677,1,1,0,0,-0.173396521415362,0,0,FALSE,TRUE,"FLAT",307.652655568589
"B cells_CD4 T cells_MIF:TNFRSF14","B cells_CD4 T cells","MIF:TNFRSF14",20788,488,45049,5680,2.96564100348237,2.79957872922714,1,1,0,0,-0.0576242471142413,0.009,0.0123105687856721,FALSE,TRUE,"FLAT",1.90972188088086
"B cells_CD4 T cells_MYL9:CD69","B cells_CD4 T cells","MYL9:CD69",20788,488,45049,5680,0.409950161322646,2.55775856329673,1,1,0,0,1.83085099817382,0,0,FALSE,TRUE,"UP",307.652655568589
