"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample"
"D564","Monocytes",1378,35,1343,0.0253991291727141,4088.5,2686.5,3.39563338726254,0.0183187481874327,0.0351182494864631,0.0167995012990304,TRUE,TRUE,TRUE
"D543","Monocytes",2083,51,2032,0.0244839174267883,3502,1977,3.83715489003276,0.0186709952586685,0.0320475000890839,0.0133765048304154,TRUE,TRUE,TRUE
"D496","Monocytes",219,5,214,0.0228310502283105,4728,944,6.28070925016022,0.0097905706156986,0.0523229108430251,0.0425323402273265,TRUE,TRUE,TRUE
"D512","Monocytes",2085,42,2043,0.0201438848920863,3699,932,2.18704436575713,0.0149371966882543,0.0271155203572448,0.0121783236689905,TRUE,TRUE,TRUE
"768B","CD8 T cells",113,2,111,0.0176991150442478,4950,369,3.6849710982659,0.0048672318204874,0.0622447239856079,0.0573774921651205,TRUE,TRUE,TRUE
"D523","Monocytes",518,9,509,0.0173745173745174,3627,1930,3.84012107870116,0.00916719314026179,0.0326873940174038,0.0235202008771421,TRUE,TRUE,TRUE
"D570","Monocytes",2181,34,2147,0.0155891792755617,4529,1346,3.25581395348837,0.0111770933940861,0.0217046786588261,0.01052758526474,TRUE,TRUE,TRUE
"694B","CD8 T cells",74,1,73,0.0135135135135135,4211,814.5,3.11753311406657,0.00238946340345682,0.0726535651984323,0.0702641017949755,TRUE,TRUE,TRUE
"D520","NK cells",85,1,84,0.0117647058823529,2373,1109,3.21965180062008,0.0020797871346641,0.0636717088249391,0.061591921690275,TRUE,TRUE,TRUE
"D543","B cells",94,1,93,0.0106382978723404,2677.5,2001,2.94212140342223,0.00188039574808794,0.0578229129627856,0.0559425172146977,TRUE,TRUE,TRUE
"D520","Monocytes",476,5,471,0.0105042016806723,3042,1142,1.9676247580845,0.00449488031537738,0.0243510198590516,0.0198561395436742,TRUE,TRUE,TRUE
"D534","NK cells",289,3,286,0.0103806228373702,3191,804,3.66001209921355,0.00353650880210831,0.0300702723562932,0.0265337635541849,TRUE,TRUE,TRUE
"D512","NK cells",671,6,665,0.00894187779433681,2599,867,3.1095406360424,0.00410440285870938,0.0193699385790226,0.0152655357203132,TRUE,TRUE,TRUE
"D570","CD8 T cells",234,2,232,0.00854700854700855,2788,675,4.3122429157944,0.0023470358770829,0.0306222322209811,0.0282751963438982,TRUE,TRUE,TRUE
"D529","NK cells",283,2,281,0.00706713780918728,2770,815,4.3572044866264,0.00194020837187945,0.0253970491254611,0.0234568407535817,TRUE,TRUE,TRUE
"D512","B cells",142,1,141,0.00704225352112676,2472.5,1054.5,2.61426115184993,0.00124421422654778,0.0388092717158546,0.0375650574893068,TRUE,TRUE,TRUE
"D533","Monocytes",651,4,647,0.00614439324116743,3662,1559,4.40785979819437,0.00239195249205508,0.0156909875252423,0.0132990350331872,TRUE,TRUE,TRUE
"D543","NK cells",239,1,238,0.00418410041841004,2690,1420,3.24773413897281,0.000738978690596283,0.0233156405208921,0.0225766618302958,TRUE,TRUE,TRUE
"D512","CD4 T cells",961,4,957,0.00416233090530697,3705,743,2.035557845916,0.00161980382862138,0.0106531542956778,0.00903335046705644,TRUE,TRUE,TRUE
"768B","B cells",2117,6,2111,0.00283419933868682,3116,489,4.21484520701231,0.00129956639361807,0.0061698551205685,0.00487028872695042,TRUE,TRUE,TRUE
"D529","CD4 T cells",1419,4,1415,0.00281888653981677,4647,667,2.19188617573544,0.00109673922938687,0.00722566292391332,0.00612892369452644,TRUE,TRUE,TRUE
"D512","CD8 T cells",720,2,718,0.00277777777777778,3612,732,2.80065593357724,0.000762097671329638,0.0100710187868927,0.00930892111556306,TRUE,TRUE,TRUE
"D543","CD4 T cells",386,1,385,0.00259067357512953,4332.5,1299,2.38012668159727,0.000457463976324928,0.0145267268749126,0.0140692628985876,TRUE,TRUE,TRUE
"D528","CD4 T cells",1700,2,1698,0.00117647058823529,6766.5,642,1.48619543753563,0.000322689978882114,0.00427953329729145,0.00395684331840934,TRUE,TRUE,TRUE
"D533","NK cells",884,1,883,0.00113122171945701,2869,844.5,3.16734973387383,0.000199716328203598,0.00637967773214276,0.00617996140393917,TRUE,TRUE,TRUE
"D534","CD4 T cells",3165,2,3163,0.000631911532385466,4111,679,2.50648228176318,0.000173310042567823,0.00230124064814814,0.00212793060558032,TRUE,TRUE,TRUE
