"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"D523","B cells",24,0,24,0,0,0.13797620467498,0.13797620467498,TRUE
"D523","CD4 T cells",741,0,741,0,0,0.00515741809911642,0.00515741809911642,TRUE
"D523","CD8 T cells",347,0,347,0,0,0.0109492727387654,0.0109492727387654,TRUE
"D523","Neutrophils",25,0,25,0,0,0.133192250939048,0.133192250939048,TRUE
"D528","B cells",733,0,733,0,0,0.00521341297331767,0.00521341297331767,TRUE
"D528","CD8 T cells",144,0,144,0,0,0.0259836371430367,0.0259836371430367,TRUE
"D528","DCs",76,0,76,0,0,0.0481135850651373,0.0481135850651373,TRUE
"D528","NK cells",416,0,416,0,0,0.00914978437690389,0.00914978437690389,TRUE
"D529","B cells",32,0,32,0,0,0.107179198255071,0.107179198255071,TRUE
"D529","CD8 T cells",573,0,573,0,0,0.00665947074703624,0.00665947074703624,TRUE
"D533","CD4 T cells",303,0,303,0,0,0.012519360439291,0.012519360439291,TRUE
"D533","CD8 T cells",84,0,84,0,0,0.0437317284146599,0.0437317284146599,TRUE
"D534","CD8 T cells",1779,0,1779,0,0,0.00215468335767509,0.00215468335767509,TRUE
"D543","CD8 T cells",196,0,196,0,0,0.0192225319178681,0.0192225319178681,TRUE
"D564","B cells",47,0,47,0,6.93889390390723e-18,0.0755576041639963,0.0755576041639963,TRUE
"D564","CD4 T cells",519,0,519,0,0,0.00734727278391198,0.00734727278391198,TRUE
"D564","CD8 T cells",48,0,48,0,0,0.0741001296661175,0.0741001296661175,TRUE
"D570","B cells",56,0,56,0,0,0.0641939367187634,0.0641939367187634,TRUE
"D570","CD4 T cells",357,0,357,0,0,0.010645835523581,0.010645835523581,TRUE
"D570","NK cells",145,0,145,0,0,0.0258090645652824,0.0258090645652824,TRUE
