"marker_label","n_PLA","n_platelet_free","pla_q25","pla_median","pla_q75","platelet_free_median","platelet_free_q95","platelet_free_above_pla_q25","platelet_free_above_pla_median"
"CD41",218,5662,1.93974589929385,2.46151598786302,3.25304951465873,0,1.75190686188576,0.0388555280819498,0.0164252914164606
"CD42b",218,5662,0,0,0.585862594979584,0,0.952846361340156,1,1
"CD61",218,5662,0.913274737335201,1.38252294451495,1.82835651983395,0,1.17517419422311,0.126633698339809,0.0406216884493112
"CD62P",218,5662,0,0,0.59792235988042,0,0.969518292006044,1,1
"CLEC2",218,5662,0,0,0.6446842173149,0,0.6446842173149,1,1
