"group_id","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_q95","pla_q25","platelet_free_above_pla_q25"
"sample12","CLEC2",0,46,NA,0,NA,0,NA,NA
"sample15","CLEC2",0,183,NA,0,NA,0.6446842173149,NA,NA
"sample17","CLEC2",0,65,NA,0,NA,0.6446842173149,NA,NA
"sample2","CLEC2",0,31,NA,0,NA,0.6446842173149,NA,NA
"sample27","CLEC2",0,51,NA,0,NA,0.6446842173149,NA,NA
"sample30","CLEC2",0,1107,NA,0,NA,0.6446842173149,NA,NA
"sample32","CLEC2",0,36,NA,0,NA,0.6446842173149,NA,NA
"sample34","CLEC2",0,23,NA,0,NA,0.580215795583409,NA,NA
"sample41","CLEC2",0,711,NA,0,NA,0.6446842173149,NA,NA
"sample5","CLEC2",0,94,NA,0,NA,0.6446842173149,NA,NA
"sample6","CLEC2",0,96,NA,0,NA,0.6446842173149,NA,NA
"sample7","CLEC2",0,140,NA,0,NA,0.6446842173149,NA,NA
"sample8","CLEC2",0,181,NA,0,NA,0.6446842173149,NA,NA
