"Matched_Signature","Matched_SIG_FILE_BASE","Rep","N_Genes","SIG_NAME","SIG_FILE_BASE","File"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",17,224,"RANDOM_MANNE_DN_rep17","RANDOM_MANNE_DN_rep17","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep17.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",18,224,"RANDOM_MANNE_DN_rep18","RANDOM_MANNE_DN_rep18","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep18.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",19,224,"RANDOM_MANNE_DN_rep19","RANDOM_MANNE_DN_rep19","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep19.csv"
"MANNE_DN","MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN.v2025.1.Hs",20,224,"RANDOM_MANNE_DN_rep20","RANDOM_MANNE_DN_rep20","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_MANNE_DN_rep20.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",1,55,"RANDOM_GOBP_rep01","RANDOM_GOBP_rep01","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep01.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",2,55,"RANDOM_GOBP_rep02","RANDOM_GOBP_rep02","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep02.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",3,55,"RANDOM_GOBP_rep03","RANDOM_GOBP_rep03","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep03.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",4,55,"RANDOM_GOBP_rep04","RANDOM_GOBP_rep04","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep04.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",5,55,"RANDOM_GOBP_rep05","RANDOM_GOBP_rep05","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep05.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",6,55,"RANDOM_GOBP_rep06","RANDOM_GOBP_rep06","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep06.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",7,55,"RANDOM_GOBP_rep07","RANDOM_GOBP_rep07","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep07.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",8,55,"RANDOM_GOBP_rep08","RANDOM_GOBP_rep08","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep08.csv"
