"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"DCs","CD8 T cells","HLA-A","CD8B2",0.294415973837428,2508.9,0.149888558481475,197,0.259318748586476,1794,-0.00117873394442125,3909,0.872026132496192,2691,0.082,3953.5
"CD4 T cells","NK cells","ARF6","SMAP1",0.294602195193796,3271.8,0.0326334595040951,3901,0.0833609315588461,3414,0.0892794877349307,3246,0.825261016190566,3954,0,1844
"Monocytes","CD8 T cells","TGFB1","ITGB1",0.294602195193796,2707.2,0.0322485859476871,3954,0.0964819136578914,3263,0.0672627248690018,3405,0.920261506842084,1070,0,1844
"B cells","DCs","CIRBP","TREM1",0.294974920595482,2752.2,0.0516572178403882,2253,0.131980850016444,2897,0.151841140114502,2812,0.825245040916223,3955,0,1844
"DCs","B cells","GNAI2","ADCY7",0.295721503155893,2889.4,0.0322207110504309,3957,0.148621410669928,2720,0.121609944183443,3010,0.864909249800913,2916,0,1844
"NK cells","NK cells","FASLG","FAS",0.296083476679108,2753.6,0.0731677542498852,1141,0.285788517279468,1607,0.204324106866667,2501,0.62173194020692,6675,0,1844
"CD4 T cells","CD8 T cells","HLA-DPA1","LAG3",0.296095360887079,2554.4,0.0539538689566992,2105,0.271244308468235,1706,-0.00737766557057545,3958,0.856742461022295,3159,0,1844
"DCs","NK cells","LGALS9","LRP1",0.296469596634136,3542.6,0.0393400840116843,3245,0.0730916243980577,3530,-0.00742262303474367,3959,0.856708177052157,3162,0.01,3817
"NK cells","Monocytes","ADAM10","TSPAN14",0.296469596634136,3240.6,0.0366277914643927,3472,0.0515042482336885,3760,0.0988485096079175,3168,0.825085266082698,3959,0,1844
"NK cells","B cells","CALM1","KCNQ1",0.296469596634136,2823.6,0.0322111849293124,3959,0.216540280281614,2094,0.210505344665259,2468,0.833794523566225,3753,0,1844
"CD8 T cells","DCs","LMAN1","MCFD2",0.296509523183108,2984.8,0.0507598062969357,2325,0.220543210613817,2063,0.204143487060574,2502,0.69249938606934,6190,0,1844
"NK cells","CD4 T cells","TGFB1","SMAD3",0.296844210683655,2849.4,0.0378099837789759,3376,0.183146964811418,2390,0.172483876622253,2677,0.825070800760915,3960,0,1844
